method,rr_long,rr_short,yc_long,yc_short,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
D,2.0,-3.0,1.0,-0.5,-0.22134157200440555,-0.22977871379372597,-0.0016737644906927862,0.08255065806298013,-0.273591792355512,-0.00611774379736456,-0.02818599224212115,6
D,2.0,-3.0,1.0,-0.25,-0.21030145205844455,-0.21858225594532588,-0.0007355041694809827,0.08245522555712796,-0.273591792355512,-0.002688326879796344,-0.012479286718543814,6
D,2.0,-3.0,1.0,0.0,-0.21030145205844455,-0.21858225594532588,-0.0007355041694809827,0.08245522555712796,-0.273591792355512,-0.002688326879796344,-0.012479286718543814,6
D,2.0,-3.0,1.0,0.5,-0.2695332958192381,-0.27955230516226864,-0.0010785833018982505,0.06930491621907245,-0.273591792355512,-0.003942308695052929,-0.018250026478490056,8
D,2.0,-2.5,-0.5,-1.0,-0.055628298521307726,-0.05485227769319159,0.0027436546127914685,0.13832302616809403,-0.3108593804427443,0.008826031271386417,0.0478737327605514,7
D,2.0,-2.5,-0.5,-0.5,-0.08523890347830683,-0.08482628535392207,-0.00038788539841516645,0.1339516081321213,-0.2777686131218641,-0.001396433506491935,-0.006599629075767277,9
D,2.0,-2.5,-0.5,-0.25,-0.07831984191830087,-0.07797463267487924,0.0005515834348912563,0.1338926276121344,-0.2777686131218641,0.001985765881508227,0.009455960747552838,9
D,2.0,-2.5,-0.5,0.0,-0.11129739416524836,-0.11022283293923145,-0.0035187016032323104,0.13250552751822417,-0.29546153877110354,-0.011909169693854053,-0.0583872730559567,11
D,2.0,-2.5,-0.5,0.5,-0.1608887057283682,-0.16269341446632943,-0.007921358960542024,0.12512347084986483,-0.31952193103340726,-0.0247912840753138,-0.12692673053572645,17
D,2.0,-2.5,0.0,-1.0,-0.06911894094773477,-0.06599679334394214,0.003037803031787467,0.1276321580065604,-0.29735965996294356,0.010215921797079109,0.0531324307621599,7
D,2.0,-2.5,0.0,-0.5,-0.1020908559186515,-0.09840286714877698,-9.465559659427303e-05,0.1228808699697467,-0.2777686131218641,-0.00034077139072853136,-0.001614302712431015,9
D,2.0,-2.5,0.0,-0.25,-0.0945602936952865,-0.09119087510085949,0.0008450888238684673,0.1228166069566682,-0.2777686131218641,0.0030424201437680267,0.014521861225387012,9
D,2.0,-2.5,0.0,0.0,-0.0945602936952865,-0.09119087510085949,0.0008450888238684673,0.1228166069566682,-0.2777686131218641,0.0030424201437680267,0.014521861225387012,9
D,2.0,-2.5,0.0,0.5,-0.1352915013710983,-0.13446117189674867,-0.0014502674877112653,0.11212855717869719,-0.29430551189648224,-0.00492776189737614,-0.024466081312244592,15
D,2.0,-2.5,0.25,-1.0,-0.06911894094773477,-0.06599679334394214,0.003037803031787467,0.1276321580065604,-0.29735965996294356,0.010215921797079109,0.0531324307621599,7
D,2.0,-2.5,0.25,-0.5,-0.1020908559186515,-0.09840286714877698,-9.465559659427303e-05,0.1228808699697467,-0.2777686131218641,-0.00034077139072853136,-0.001614302712431015,9
D,2.0,-2.5,0.25,-0.25,-0.0945602936952865,-0.09119087510085949,0.0008450888238684673,0.1228166069566682,-0.2777686131218641,0.0030424201437680267,0.014521861225387012,9
D,2.0,-2.5,0.25,0.0,-0.0945602936952865,-0.09119087510085949,0.0008450888238684673,0.1228166069566682,-0.2777686131218641,0.0030424201437680267,0.014521861225387012,9
D,2.0,-2.5,0.25,0.5,-0.10290351814049147,-0.10302192779179004,0.0024054917168334633,0.11109466101369544,-0.27709005761294436,0.008681263187701939,0.04185870462860586,15
D,2.0,-2.5,0.5,-1.0,-0.06911894094773477,-0.06599679334394214,0.003037803031787467,0.1276321580065604,-0.29735965996294356,0.010215921797079109,0.0531324307621599,7
D,2.0,-2.5,0.5,-0.5,-0.1020908559186515,-0.09840286714877698,-9.465559659427303e-05,0.1228808699697467,-0.2777686131218641,-0.00034077139072853136,-0.001614302712431015,9
D,2.0,-2.5,0.5,-0.25,-0.0945602936952865,-0.09119087510085949,0.0008450888238684673,0.1228166069566682,-0.2777686131218641,0.0030424201437680267,0.014521861225387012,9
D,2.0,-2.5,0.5,0.0,-0.0945602936952865,-0.09119087510085949,0.0008450888238684673,0.1228166069566682,-0.2777686131218641,0.0030424201437680267,0.014521861225387012,9
D,2.0,-2.5,0.5,0.5,-0.164524958092314,-0.1632174141522681,-0.002954109802845828,0.10563149874535015,-0.27709005761294436,-0.010661190185944172,-0.04924014875867755,15
D,2.0,-2.5,1.0,-1.0,-0.2780603016013297,-0.28462460392667094,-0.007393605181518215,0.08548336008363701,-0.29985499483887623,-0.02465726870913418,-0.1189658359029585,6
D,2.0,-2.5,1.0,-0.5,-0.2495200707395512,-0.25748480422521713,-0.003825425876069821,0.08203957131441088,-0.29985499483887623,-0.012757585972931255,-0.06332181228561884,6
D,2.0,-2.5,1.0,-0.25,-0.23844535362872754,-0.2463514140534816,-0.0028891877580524694,0.08194364276481143,-0.29985499483887623,-0.009635283079426248,-0.048182980835008715,6
D,2.0,-2.5,1.0,0.0,-0.23844535362872754,-0.2463514140534816,-0.0028891877580524694,0.08194364276481143,-0.29985499483887623,-0.009635283079426248,-0.048182980835008715,6
D,2.0,-2.5,1.0,0.5,-0.3039306812060496,-0.31252487532255563,-0.003231527462720596,0.0686953011931429,-0.29985499483887623,-0.010776967261982818,-0.05374508018423563,8
D,2.5,-3.75,-0.5,-1.0,-0.03393343740505165,-0.03335770398496853,0.005358266873318751,0.14061193498723976,-0.34835686766690976,0.015381545106905122,0.09549669901324243,3
D,2.5,-3.75,-0.5,-0.5,-0.03127616065639919,-0.03077987974582541,0.005791229491683758,0.14028431628815927,-0.3435505609707622,0.016856993262708193,0.10357672450392186,3
D,2.5,-3.75,-0.5,-0.25,-0.03127616065639919,-0.03077987974582541,0.005791229491683758,0.14028431628815927,-0.3435505609707622,0.016856993262708193,0.10357672450392186,3
D,2.5,-3.75,-0.5,0.0,-0.03127616065639919,-0.03077987974582541,0.005791229491683758,0.14028431628815927,-0.3435505609707622,0.016856993262708193,0.10357672450392186,3
D,2.5,-3.75,-0.5,0.5,-0.14633761757999336,-0.14367225766502004,-0.0056333649663294905,0.12331193431201387,-0.34355056097076075,-0.016397484406404275,-0.0919166147588919,5
D,2.5,-3.75,0.0,-1.0,0.012899546006482313,0.011922661760992966,0.014182430274383595,0.12245380901379713,-0.2360775871295115,0.060075293240790174,0.27170387951603625,2
D,2.5,-3.75,0.0,-0.5,0.016083977746648086,0.014888110038406503,0.014619193063310831,0.12207738991095911,-0.2360775871295115,0.06192537479337581,0.2810835515609902,2
D,2.5,-3.75,0.0,-0.25,0.016083977746648086,0.014888110038406503,0.014619193063310831,0.12207738991095911,-0.2360775871295115,0.06192537479337581,0.2810835515609902,2
D,2.5,-3.75,0.0,0.0,0.016083977746648086,0.014888110038406503,0.014619193063310831,0.12207738991095911,-0.2360775871295115,0.06192537479337581,0.2810835515609902,2
D,2.5,-3.75,0.0,0.5,-0.11450687418712117,-0.10552456845672609,0.0030943234182223556,0.1021260069167579,-0.2360775871295115,0.013107230787329331,0.05414572675147822,4
D,2.5,-3.75,0.25,-1.0,0.012899546006482313,0.011922661760992966,0.014182430274383595,0.12245380901379713,-0.2360775871295115,0.060075293240790174,0.27170387951603625,2
D,2.5,-3.75,0.25,-0.5,0.016083977746648086,0.014888110038406503,0.014619193063310831,0.12207738991095911,-0.2360775871295115,0.06192537479337581,0.2810835515609902,2
D,2.5,-3.75,0.25,-0.25,0.016083977746648086,0.014888110038406503,0.014619193063310831,0.12207738991095911,-0.2360775871295115,0.06192537479337581,0.2810835515609902,2
D,2.5,-3.75,0.25,0.0,0.016083977746648086,0.014888110038406503,0.014619193063310831,0.12207738991095911,-0.2360775871295115,0.06192537479337581,0.2810835515609902,2
D,2.5,-3.75,0.25,0.5,-0.11450687418712117,-0.10552456845672609,0.0030943234182223556,0.1021260069167579,-0.2360775871295115,0.013107230787329331,0.05414572675147822,4
D,2.5,-3.75,0.5,-1.0,0.012899546006482313,0.011922661760992966,0.014182430274383595,0.12245380901379713,-0.2360775871295115,0.060075293240790174,0.27170387951603625,2
D,2.5,-3.75,0.5,-0.5,0.016083977746648086,0.014888110038406503,0.014619193063310831,0.12207738991095911,-0.2360775871295115,0.06192537479337581,0.2810835515609902,2
D,2.5,-3.75,0.5,-0.25,0.016083977746648086,0.014888110038406503,0.014619193063310831,0.12207738991095911,-0.2360775871295115,0.06192537479337581,0.2810835515609902,2
D,2.5,-3.75,0.5,0.0,0.016083977746648086,0.014888110038406503,0.014619193063310831,0.12207738991095911,-0.2360775871295115,0.06192537479337581,0.2810835515609902,2
D,2.5,-3.75,0.5,0.5,-0.11558095486394764,-0.10695933245706178,0.0034579126224842938,0.09994593429046665,-0.2360775871295115,0.0146473566784944,0.06068612017561126,4
