method,yc_confirm,tl_c,ts_c,tl_s,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
C,-0.5,-3.25,2.25,-3.5,0.08575698654391184,0.08663780670853095,0.02349059638038198,0.11601793238368895,-0.23735372708006974,0.0989687276848936,0.48629776913336453,7
C,-0.5,-3.25,2.5,-4.5,-0.07042225363270696,-0.07024662080338934,0.006750751764788676,0.10705594531114122,-0.23735372708006974,0.028441734822690835,0.12168388459456114,5
C,-0.5,-3.25,2.5,-4.25,-0.07042225363270696,-0.07024662080338934,0.006750751764788676,0.10705594531114122,-0.23735372708006974,0.028441734822690835,0.12168388459456114,5
C,-0.5,-3.25,2.5,-4.0,-0.07042225363270696,-0.07024662080338934,0.006750751764788676,0.10705594531114122,-0.23735372708006974,0.028441734822690835,0.12168388459456114,5
C,-0.5,-3.25,2.5,-3.75,-0.07042225363270696,-0.07024662080338934,0.006750751764788676,0.10705594531114122,-0.23735372708006974,0.028441734822690835,0.12168388459456114,5
C,-0.5,-3.25,2.5,-3.5,-0.07042225363270696,-0.07024662080338934,0.006750751764788676,0.10705594531114122,-0.23735372708006974,0.028441734822690835,0.12168388459456114,5
C,-0.5,-3.25,2.75,-4.5,0.02380443505049017,0.023683417577726965,0.017376894568083445,0.10195440372742996,-0.23607758712951205,0.07360671031659811,0.3418269905704274,5
C,-0.5,-3.25,2.75,-4.25,0.02380443505049017,0.023683417577726965,0.017376894568083445,0.10195440372742996,-0.23607758712951205,0.07360671031659811,0.3418269905704274,5
C,-0.5,-3.25,2.75,-4.0,0.02380443505049017,0.023683417577726965,0.017376894568083445,0.10195440372742996,-0.23607758712951205,0.07360671031659811,0.3418269905704274,5
C,-0.5,-3.25,2.75,-3.75,0.02380443505049017,0.023683417577726965,0.017376894568083445,0.10195440372742996,-0.23607758712951205,0.07360671031659811,0.3418269905704274,5
C,-0.5,-3.25,2.75,-3.5,0.02380443505049017,0.023683417577726965,0.017376894568083445,0.10195440372742996,-0.23607758712951205,0.07360671031659811,0.3418269905704274,5
C,-0.5,-3.25,3.0,-4.5,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.25,3.0,-4.25,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.25,3.0,-4.0,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.25,3.0,-3.75,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.25,3.0,-3.5,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.25,3.25,-4.5,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.25,3.25,-4.25,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.25,3.25,-4.0,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.25,3.25,-3.75,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.25,3.25,-3.5,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.0,2.25,-4.5,0.09007585625257257,0.09101875795651466,0.024004403753734582,0.11598445959547045,-0.23735372708007002,0.10113346038015583,0.49908403170749294,7
C,-0.5,-3.0,2.25,-4.25,0.09007585625257257,0.09101875795651466,0.024004403753734582,0.11598445959547045,-0.23735372708007002,0.10113346038015583,0.49908403170749294,7
C,-0.5,-3.0,2.25,-4.0,0.09007585625257257,0.09101875795651466,0.024004403753734582,0.11598445959547045,-0.23735372708007002,0.10113346038015583,0.49908403170749294,7
C,-0.5,-3.0,2.25,-3.75,0.09007585625257257,0.09101875795651466,0.024004403753734582,0.11598445959547045,-0.23735372708007002,0.10113346038015583,0.49908403170749294,7
C,-0.5,-3.0,2.25,-3.5,0.09007585625257257,0.09101875795651466,0.024004403753734582,0.11598445959547045,-0.23735372708007002,0.10113346038015583,0.49908403170749294,7
C,-0.5,-3.0,2.5,-4.5,-0.06579209667251386,-0.06564235201792391,0.007256155489272942,0.10701999246746441,-0.2373537270800703,0.030571061927437557,0.13133346153092407,5
C,-0.5,-3.0,2.5,-4.25,-0.06579209667251386,-0.06564235201792391,0.007256155489272942,0.10701999246746441,-0.2373537270800703,0.030571061927437557,0.13133346153092407,5
C,-0.5,-3.0,2.5,-4.0,-0.06579209667251386,-0.06564235201792391,0.007256155489272942,0.10701999246746441,-0.2373537270800703,0.030571061927437557,0.13133346153092407,5
C,-0.5,-3.0,2.5,-3.75,-0.06579209667251386,-0.06564235201792391,0.007256155489272942,0.10701999246746441,-0.2373537270800703,0.030571061927437557,0.13133346153092407,5
C,-0.5,-3.0,2.5,-3.5,-0.06579209667251386,-0.06564235201792391,0.007256155489272942,0.10701999246746441,-0.2373537270800703,0.030571061927437557,0.13133346153092407,5
C,-0.5,-3.0,2.75,-4.5,0.028700155818986273,0.02856134084346066,0.017887632772964457,0.101916457978383,-0.23607758712951205,0.07577014400418838,0.35337040575061285,5
C,-0.5,-3.0,2.75,-4.25,0.028700155818986273,0.02856134084346066,0.017887632772964457,0.101916457978383,-0.23607758712951205,0.07577014400418838,0.35337040575061285,5
