method,alpha,tl,ts,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
B,0.3,-1.0,2.5,-2.229314124237749,-1.7911448777029244,-0.003327288215721702,0.010441809414057895,-0.04738573362616521,-0.07021708774145595,-0.055295449453022005,1
B,0.3,-1.0,3.0,-2.229314124237749,-1.7911448777029244,-0.003327288215721702,0.010441809414057895,-0.04738573362616521,-0.07021708774145595,-0.055295449453022005,1
B,0.4,-3.0,0.5,-0.15738203641549206,-0.15310932042844874,-0.015442238312944001,0.15228067521694516,-0.5163457996220402,-0.02990677628102632,-0.23326647388357802,1
B,0.4,-3.0,1.0,-0.15738203641549206,-0.15310932042844874,-0.015442238312944001,0.15228067521694516,-0.5163457996220402,-0.02990677628102632,-0.23326647388357802,1
B,0.4,-3.0,1.5,-0.15738203641549206,-0.15310932042844874,-0.015442238312944001,0.15228067521694516,-0.5163457996220402,-0.02990677628102632,-0.23326647388357802,1
B,0.4,-3.0,2.0,-0.130266031361004,-0.1272872084701271,-0.008626867568077956,0.14231162653708754,-0.5163457996220385,-0.01670753896786371,-0.13746323145629968,1
B,0.4,-3.0,2.5,-0.29181241445614453,-0.2821983245498384,-0.005241043519913058,0.07651334726888372,-0.29775148335739793,-0.017602073584372754,-0.08578228314699687,0
B,0.4,-3.0,3.0,-0.29181241445614453,-0.2821983245498384,-0.005241043519913058,0.07651334726888372,-0.29775148335739793,-0.017602073584372754,-0.08578228314699687,0
B,0.4,-2.5,0.5,-0.056927085851527094,-0.05593298595130703,0.00031457696647629874,0.14950287907765572,-0.38221661377487065,0.0008230332098059654,0.005382620108352665,5
B,0.4,-2.5,1.0,-0.015703747669693215,-0.01547620713488419,0.006893942472628423,0.14711252476694167,-0.3258393956655825,0.021157486063176523,0.12440990165505661,5
B,0.4,-2.5,1.5,-0.007021579532917062,-0.007069695886726214,0.009138210621715714,0.14083793817884657,-0.32583939566558395,0.028045137399820303,0.1679589447424812,5
B,0.4,-2.5,2.0,-0.0652224662500268,-0.06591872014973775,0.007682060202140573,0.10491458604656657,-0.2608664996179722,0.02944824350152519,0.13952580129426795,5
B,0.4,-2.5,2.5,-0.3024331872927237,-0.2885027264226399,0.004396244370459046,0.04784114459446753,-0.13152980087235688,0.033423941504521715,0.07774217813910056,1
B,0.4,-2.5,3.0,-0.3024331872927237,-0.2885027264226399,0.004396244370459046,0.04784114459446753,-0.13152980087235688,0.033423941504521715,0.07774217813910056,1
B,0.4,-2.0,0.5,-0.01571764307425736,-0.015484287663437232,0.006654771226482614,0.14855179411758057,-0.38221661377487265,0.017410994150040545,0.11986012326961082,7
B,0.4,-2.0,1.0,0.03429652313135555,0.03398618565287592,0.014606630637521212,0.14465752725633566,-0.32583939566558445,0.04482769987859998,0.2808128606993816,7
B,0.4,-2.0,1.5,0.023551434071472404,0.02390572771524396,0.0139543844353891,0.13690120382471385,-0.3258393956655827,0.04282595849677687,0.2668322234642404,7
B,0.4,-2.0,2.0,-0.04421978536110874,-0.045464164615073216,0.010484813517655844,0.10101540314058227,-0.26086649961797154,0.040192257468898575,0.19484625560630375,6
B,0.4,-2.0,2.5,-1.5767811246628687,-1.470575163925672,-0.0038468473766051225,0.015056501890606724,-0.06900628018816629,-0.05574633737850441,-0.06366552747113152,1
B,0.4,-2.0,3.0,-1.5767811246628687,-1.470575163925672,-0.0038468473766051225,0.015056501890606724,-0.06900628018816629,-0.05574633737850441,-0.06366552747113152,1
B,0.4,-1.5,0.5,-0.004285420378025925,-0.004282175547643183,0.009997180734454547,0.13760554269544029,-0.3720702700298562,0.026869066248298577,0.18504320711835387,37
B,0.4,-1.5,1.0,-0.16759302840213958,-0.16821936863894132,-0.008629973188695406,0.12469141659970295,-0.29054495344747344,-0.029702712390272463,-0.13750934694824068,27
B,0.4,-1.5,1.5,-0.17928402896456277,-0.17875625842059129,0.00024230012776338405,0.0884178394794277,-0.2571858937694461,0.0009421205969429786,0.004143507574804861,18
B,0.4,-1.5,2.0,-0.07088630084104044,-0.07404713988945034,0.013274120738318462,0.06570481173832556,-0.19965120320022461,0.06648655517996663,0.25240417201233045,9
B,0.4,-1.5,2.5,-1.6993641820059102,-1.5155702937631979,-0.004165782944647867,0.014166417679821956,-0.06402166216952522,-0.06506833473984389,-0.06876893265884032,1
B,0.4,-1.5,3.0,-1.6993641820059102,-1.5155702937631979,-0.004165782944647867,0.014166417679821956,-0.06402166216952522,-0.06506833473984389,-0.06876893265884032,1
B,0.4,-1.0,0.5,-0.1825847625395816,-0.18564114449319358,-0.010282994385209632,0.12404382212945779,-0.4104538992789481,-0.025052738939193797,-0.16172845287017001,86
B,0.4,-1.0,1.0,-0.37207565915433655,-0.3790289749938112,-0.024671482977901782,0.1058455905672912,-0.4639192989009231,-0.053180548936746744,-0.3471193462478781,56
B,0.4,-1.0,1.5,-0.2734871331688979,-0.2837294758676983,-0.0020309402100771035,0.07128253281215945,-0.2005994398241098,-0.010124356338471726,-0.03410315714366374,24
B,0.4,-1.0,2.0,-0.09551881754320601,-0.10379625855792124,0.012830682555241113,0.05820980542110389,-0.14150700571439825,0.09067171261567863,0.24308251057525188,11
B,0.4,-1.0,2.5,-2.229314124237749,-1.7911448777029244,-0.003327288215721702,0.010441809414057895,-0.04738573362616521,-0.07021708774145595,-0.055295449453022005,1
B,0.4,-1.0,3.0,-2.229314124237749,-1.7911448777029244,-0.003327288215721702,0.010441809414057895,-0.04738573362616521,-0.07021708774145595,-0.055295449453022005,1
B,0.5,-3.0,0.5,-0.06675067319390612,-0.06544218252899403,-0.0012207753295253587,0.14981401957584084,-0.38221661377487276,-0.0031939358089871014,-0.020632440023524268,3
B,0.5,-3.0,1.0,-0.045825051467096194,-0.045010835100081824,0.0023381395718633513,0.14764753068748784,-0.34355056097076386,0.006805809209731801,0.040664575456398344,3
B,0.5,-3.0,1.5,-0.03544821945652227,-0.03485002892740794,0.0039028576510031776,0.1474974439203497,-0.32583939566558495,0.011977856891831316,0.06874195846156672,3
B,0.5,-3.0,2.0,-0.01307326552147249,-0.012910510666330898,0.008874125215144968,0.13694813864559732,-0.3474553145417275,0.025540335242387645,0.16275326532466172,3
B,0.5,-3.0,2.5,-0.03608555195291656,-0.03327471378024089,0.010172790911524565,0.1090386938632655,-0.22005571030640436,0.046228252370093134,0.188564801662088,2
B,0.5,-3.0,3.0,-0.13238902428215235,-0.12215043596943484,0.007842453331017962,0.07231738971163466,-0.1315324886034344,0.05962369764524619,0.14262543755236767,2
B,0.5,-2.5,0.5,-0.07111734538867144,-0.06976526399615066,-0.0015832586890180966,0.1484911796219817,-0.38221661377487187,-0.004142307351272403,-0.02668121461625761,7
B,0.5,-2.5,1.0,-0.0625846012701928,-0.061557236779376384,0.0003138508733866452,0.1454817878397114,-0.343550560970759,0.0009135507521798468,0.005370164829685331,7
B,0.5,-2.5,1.5,-0.05207120709164248,-0.05126421652275126,0.001875408900046338,0.14532956264183375,-0.32583939566558096,0.005755623552564921,0.03249529606374546,7
B,0.5,-2.5,2.0,0.010192802265481596,0.010396225705973532,0.013172414776603025,0.1282614870438932,-0.34745531454172646,0.03791110460916875,0.2502603797511469,6
B,0.5,-2.5,2.5,-0.08746544980770826,-0.08553981194089669,0.007389883745828829,0.0940022585554966,-0.24370283628659015,0.03032333910606793,0.13389975350642014,5
B,0.5,-2.5,3.0,-0.5510732361557762,-0.5655799682787426,-0.004656727840893549,0.04307990169468203,-0.13152980087235688,-0.035404355590963534,-0.07657357205375148,3
B,0.5,-2.0,0.5,-0.058059661631280964,-0.05754471365353089,0.0014658111977514654,0.14306441643101075,-0.4065743756292981,0.0036052719640353,0.025314460995654153,17
B,0.5,-2.0,1.0,-0.05409783508474611,-0.053912232974261926,0.003332375162558021,0.1363882337596367,-0.32261798155302807,0.0103291674770158,0.058423594448322236,15
B,0.5,-2.0,1.5,-0.06946850930555555,-0.0691426028068748,0.0029343890423862984,0.12793784869614508,-0.27851460927531146,0.01053585321797485,0.05128080080814734,15
B,0.5,-2.0,2.0,0.035974676762152616,0.03610877753542083,0.018807722801076787,0.09953154058719119,-0.25540479907328123,0.07363887784927815,0.374402025048197,9
B,0.5,-2.0,2.5,-0.04732388573947968,-0.04798876776575103,0.013927319636093172,0.07342722555862104,-0.22980258420179905,0.06060558319859024,0.26625521621473913,7
B,0.5,-2.0,3.0,-0.6212114302701246,-0.6443407677309845,-0.0041718210001316924,0.03777700492643025,-0.12549400712666034,-0.033243189022732364,-0.06886529675627573,3
B,0.5,-1.5,0.5,-0.004079125881866788,-0.0041160521224154565,0.010405032266636027,0.13493385398102317,-0.37956708392251043,0.027412894076874802,0.19323717969690013,49
B,0.5,-1.5,1.0,-0.12423312701118913,-0.12478090316724359,-0.003217107665921093,0.12453183103792823,-0.27385460259346783,-0.011747502636268744,-0.053511415878929824,37
B,0.5,-1.5,1.5,-0.10943237618669989,-0.10811714782397795,0.003082617793837894,0.10462476872188316,-0.2695625119099571,0.011435632395603997,0.053935793297447354,26
B,0.5,-1.5,2.0,-0.1530011925806783,-0.15667664129871167,0.006066151919851048,0.07354070246137143,-0.19965120320022536,0.030383748370238727,0.10873646316670227,15
B,0.5,-1.5,2.5,-0.3630450573602815,-0.35461721841102123,-0.0010132728500020782,0.053880688917799964,-0.21963373394541194,-0.0046134663915239835,-0.017153928709383925,7
B,0.5,-1.5,3.0,-0.6250921237086724,-0.6646380501821584,0.00032579710271662954,0.030720410221069878,-0.08644258635390376,0.0037689420973915193,0.005575106904172511,3
B,0.5,-1.0,0.5,-0.1821939562777332,-0.18639650368019184,-0.010371150143455243,0.12449636900477629,-0.38660666678735084,-0.026826102688911446,-0.16300190474250154,94
B,0.5,-1.0,1.0,-0.3921662743268183,-0.39719652016498785,-0.028712338236077217,0.1098941709071316,-0.45886200117023385,-0.06257292641982178,-0.3917805468035088,58
B,0.5,-1.0,1.5,-0.3691306228606843,-0.36830305835040944,-0.016061921248571198,0.08764423685206812,-0.34115381521860194,-0.047081171401466414,-0.2414614387399029,36
B,0.5,-1.0,2.0,-0.25100704658653006,-0.2646810302258894,0.001958430411924006,0.06379129592212675,-0.22190476048859722,0.008825544831088208,0.03395654109958968,17
B,0.5,-1.0,2.5,-0.5603997580121304,-0.5535206204308327,-0.005559818633708247,0.04391535892771785,-0.17542358750528653,-0.03169367764492159,-0.09076960480741025,9
B,0.5,-1.0,3.0,-0.629585137792418,-0.6692889782828318,0.00019156341388337772,0.0307146126147878,-0.08853263636479208,0.002163760413663217,0.0032745374689737705,3
B,0.6,-3.0,0.5,-0.03535939356255338,-0.03482862894668513,0.004176905936301489,0.14609086376771455,-0.38221661377487165,0.010928111928597948,0.07373229529501568,7
B,0.6,-3.0,1.0,-0.06256033780636779,-0.06161412686429072,0.0003294419827426509,0.14544335566908964,-0.3822166137748713,0.0008619248114020887,0.005637644027117528,7
B,0.6,-3.0,1.5,-0.006732881015091507,-0.006681115962895609,0.008954071354940085,0.1423841148774989,-0.32583939566558323,0.02748001461471486,0.16432686220331183,7
B,0.6,-3.0,2.0,-0.03041762360799998,-0.03006711506803972,0.007229055672608009,0.13243489220612006,-0.30405695014647377,0.023775334420494405,0.130814073318267,6
B,0.6,-3.0,2.5,0.05262298051555204,0.05311104261823081,0.01884469711978487,0.1263356165082455,-0.27649487048644306,0.06815568435910226,0.3752535889964723,6
B,0.6,-3.0,3.0,-0.01672854620979659,-0.01615067725241699,0.014411858771944841,0.09126125745570303,-0.24370283628659015,0.0591370169980162,0.2766228661122849,5
B,0.6,-2.5,0.5,-0.07468801409914015,-0.07409506273462466,-0.0010685126127059075,0.14377699676180278,-0.38830229261569926,-0.0027517545814837842,-0.0180810863410078,11
B,0.6,-2.5,1.0,-0.08178711998424573,-0.0808894795435184,-0.0018437900581679267,0.14269204700036428,-0.3883022926157011,-0.004748336780984982,-0.03100697019780385,11
