method,k_yc,tl_c,ts_c,tl_s,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
A,0.0,-3.5,2.75,-4.25,0.2899385894946569,0.2909611926288554,0.046550636195764605,0.10810628955535309,-0.23607758712951216,0.19718363255816795,1.1739883636368207,16
A,0.0,-3.5,2.75,-4.0,0.28757874300215885,0.2887212177519985,0.04628148797993492,0.10809433311080072,-0.23607758712951216,0.19604354882932998,1.164465658908504,17
A,0.0,-3.5,2.75,-3.75,0.32033669433996775,0.32346448545000944,0.049611436699473765,0.1063905513816169,-0.23607758712951216,0.21014886378119804,1.2850937059123235,17
A,0.0,-3.5,2.75,-3.5,0.32033669433996775,0.32346448545000944,0.049611436699473765,0.1063905513816169,-0.23607758712951216,0.21014886378119804,1.2850937059123235,17
A,0.0,-3.5,3.0,-4.5,0.23220576503882703,0.23680984924528076,0.03972390810784954,0.10568231333307347,-0.23607758712951216,0.1682663254519668,0.9442307827558769,14
A,0.0,-3.5,3.0,-4.25,0.2810277569635393,0.2854349989759483,0.04458051666141771,0.10285887994648038,-0.23607758712951216,0.1888384119961411,1.1051860729427307,14
A,0.0,-3.5,3.0,-4.0,0.2785481896015806,0.2830379070971401,0.04431187511400814,0.10284628914224157,-0.23607758712951216,0.18770047446180751,1.0959647423661187,15
A,0.0,-3.5,3.0,-3.75,0.27399097545391693,0.2784262807988792,0.04381960879507307,0.1028294704567461,-0.23607758712951216,0.18561528575363503,1.0791659168980305,15
A,0.0,-3.5,3.0,-3.5,0.27399097545391693,0.2784262807988792,0.04381960879507307,0.1028294704567461,-0.23607758712951216,0.18561528575363503,1.0791659168980305,15
A,0.0,-3.5,3.25,-4.5,0.2123168682496271,0.21784212644180462,0.03725782495329999,0.10314710298709004,-0.23607758712951257,0.15782025479979292,0.8670070566343044,14
A,0.0,-3.5,3.25,-4.25,0.2619980737591755,0.26783925153189136,0.04210291429446089,0.10025275145565408,-0.23607758712951257,0.17834354716342962,1.0215692954625175,14
A,0.0,-3.5,3.25,-4.0,0.25945256747893475,0.26534924120607173,0.04183490992812389,0.10023980628106806,-0.23607758712951257,0.1772083086615638,1.0127142308216395,15
A,0.0,-3.5,3.25,-3.75,0.2547748678074136,0.2605801494381379,0.04134381119768782,0.1002225007167835,-0.23607758712951257,0.17512806573631462,0.9965826450190503,15
A,0.0,-3.5,3.25,-3.5,0.2547748678074136,0.2605801494381379,0.04134381119768782,0.1002225007167835,-0.23607758712951257,0.17512806573631462,0.9965826450190503,15
A,0.0,-3.25,2.25,-4.5,0.10985078600877006,0.1115430785864735,0.026369034032897254,0.1130781061900662,-0.2373537270800704,0.11109593414558751,0.5592750607131987,16
A,0.0,-3.25,2.25,-4.25,0.15213892474073734,0.15411594467172007,0.03119630513976812,0.11084289286984071,-0.23607758712951113,0.13214429001535824,0.6892850226864906,20
A,0.0,-3.25,2.25,-4.0,0.14982226314437458,0.1518331913885193,0.030931105696855976,0.11083109759716576,-0.23607758712951113,0.13102093287613664,0.6818854603235629,21
A,0.0,-3.25,2.25,-3.75,0.14557256150806844,0.14753894624613945,0.030445146786906907,0.11081528668053063,-0.23607758712951113,0.1289624616935992,0.6684054147225098,21
A,0.0,-3.25,2.25,-3.5,0.14557256150806844,0.14753894624613945,0.030445146786906907,0.11081528668053063,-0.23607758712951113,0.1289624616935992,0.6684054147225098,21
A,0.0,-3.25,2.5,-4.5,0.14966333965331274,0.15193320927577084,0.030981387250889503,0.11259397199112328,-0.23735372708006977,0.13052833689204352,0.6832860616832068,16
A,0.0,-3.25,2.5,-4.25,0.20832138618680293,0.21086447727440202,0.0375426241792558,0.10990914100656386,-0.23607758712951216,0.15902663457272595,0.8757755541703085,20
A,0.0,-3.25,2.5,-4.0,0.20599115322199732,0.2085947167661753,0.03727579261230929,0.10989730183764213,-0.23607758712951216,0.1578963639265755,0.8675591087478147,21
A,0.0,-3.25,2.5,-3.75,0.20171347627313707,0.20428039470495496,0.03678684295242496,0.1098814596755394,-0.23607758712951216,0.155825224239706,0.8525909182601303,21
A,0.0,-3.25,2.5,-3.5,0.20171347627313707,0.20428039470495496,0.03678684295242496,0.1098814596755394,-0.23607758712951216,0.155825224239706,0.8525909182601303,21
A,0.0,-3.25,2.75,-4.5,0.2839616096984491,0.2891428277589668,0.045692507247825365,0.10711899406198988,-0.23607758712951216,0.19354868796908897,1.1437638067279892,16
A,0.0,-3.25,2.75,-4.25,0.33339099849809795,0.3380967304550203,0.050576995461955265,0.10433347041587114,-0.23607758712951216,0.2142388698432805,1.3212376584252015,16
A,0.0,-3.25,2.75,-4.0,0.3309520520546135,0.3357697039802465,0.05030681176119489,0.10432111539114415,-0.23607758712951216,0.21309439990843593,1.311069958728563,17
A,0.0,-3.25,2.75,-3.75,0.3264666496544422,0.3312443315221431,0.04981171955713304,0.10430464035237927,-0.23607758712951216,0.21099724104603937,1.2925470990179564,17
A,0.0,-3.25,2.75,-3.5,0.3264666496544422,0.3312443315221431,0.04981171955713304,0.10430464035237927,-0.23607758712951216,0.21099724104603937,1.2925470990179564,17
A,0.0,-3.25,3.0,-4.5,0.23220576503882703,0.23680984924528076,0.03972390810784954,0.10568231333307347,-0.23607758712951216,0.1682663254519668,0.9442307827558769,14
A,0.0,-3.25,3.0,-4.25,0.2810277569635393,0.2854349989759483,0.04458051666141771,0.10285887994648038,-0.23607758712951216,0.1888384119961411,1.1051860729427307,14
A,0.0,-3.25,3.0,-4.0,0.2785481896015806,0.2830379070971401,0.04431187511400814,0.10284628914224157,-0.23607758712951216,0.18770047446180751,1.0959647423661187,15
A,0.0,-3.25,3.0,-3.75,0.27399097545391693,0.2784262807988792,0.04381960879507307,0.1028294704567461,-0.23607758712951216,0.18561528575363503,1.0791659168980305,15
A,0.0,-3.25,3.0,-3.5,0.27399097545391693,0.2784262807988792,0.04381960879507307,0.1028294704567461,-0.23607758712951216,0.18561528575363503,1.0791659168980305,15
A,0.0,-3.25,3.25,-4.5,0.2123168682496271,0.21784212644180462,0.03725782495329999,0.10314710298709004,-0.23607758712951257,0.15782025479979292,0.8670070566343044,14
A,0.0,-3.25,3.25,-4.25,0.2619980737591755,0.26783925153189136,0.04210291429446089,0.10025275145565408,-0.23607758712951257,0.17834354716342962,1.0215692954625175,14
A,0.0,-3.25,3.25,-4.0,0.25945256747893475,0.26534924120607173,0.04183490992812389,0.10023980628106806,-0.23607758712951257,0.1772083086615638,1.0127142308216395,15
A,0.0,-3.25,3.25,-3.75,0.2547748678074136,0.2605801494381379,0.04134381119768782,0.1002225007167835,-0.23607758712951257,0.17512806573631462,0.9965826450190503,15
A,0.0,-3.25,3.25,-3.5,0.2547748678074136,0.2605801494381379,0.04134381119768782,0.1002225007167835,-0.23607758712951257,0.17512806573631462,0.9965826450190503,15
A,0.0,-3.0,2.25,-4.5,0.0711446759680446,0.07317710934847498,0.02199846037123021,0.11039857134566299,-0.2888215540897653,0.0761662696558759,0.44974500959882935,18
A,0.0,-3.0,2.25,-4.25,0.11373801102398315,0.11675197327503513,0.026805175573491935,0.10810871550807533,-0.2888215540897653,0.09280877827130911,0.5706225239757379,22
A,0.0,-3.0,2.25,-4.0,0.11135891414671627,0.114356467135126,0.026541105425854417,0.10809657853611823,-0.2888215540897653,0.09189447619136307,0.5637427380552451,23
A,0.0,-3.0,2.25,-3.75,0.11135891414671627,0.114356467135126,0.026541105425854417,0.10809657853611823,-0.2888215540897653,0.09189447619136307,0.5637427380552451,23
A,0.0,-3.0,2.25,-3.5,0.11135891414671627,0.114356467135126,0.026541105425854417,0.10809657853611823,-0.2888215540897653,0.09189447619136307,0.5637427380552451,23
A,0.0,-3.0,2.5,-4.5,0.11176856738243814,0.1149575787345458,0.026591172866612833,0.10990336460217995,-0.28882155408976645,0.09206782696816398,0.5650449552732053,18
A,0.0,-3.0,2.5,-4.25,0.17105559339534365,0.17551101311014256,0.0331244701666813,0.10715216020326278,-0.28882155408976645,0.11468835929186272,0.7440131746492915,22
A,0.0,-3.0,2.5,-4.0,0.16866182838886717,0.17312627577167528,0.03285877484506172,0.10713997264415595,-0.28882155408976645,0.11376843029813881,0.7363738869777177,23
A,0.0,-3.0,2.5,-3.75,0.16866182838886717,0.17312627577167528,0.03285877484506172,0.10713997264415595,-0.28882155408976645,0.11376843029813881,0.7363738869777177,23
A,0.0,-3.0,2.5,-3.5,0.16866182838886717,0.17312627577167528,0.03285877484506172,0.10713997264415595,-0.28882155408976645,0.11376843029813881,0.7363738869777177,23
A,0.0,-3.0,2.75,-4.5,0.2478697517065127,0.2559950746817737,0.04123964869613861,0.10428958572540643,-0.25554910680269627,0.1613766105939819,0.99317680303369,18
A,0.0,-3.0,2.75,-4.25,0.29791221257556444,0.3066000996877424,0.04610333735880956,0.10142716658952625,-0.25554910680269627,0.18040891606169812,1.15818414350551,18
A,0.0,-3.0,2.75,-4.0,0.29540021546726447,0.3041429513635761,0.04583430417772316,0.10141441129042844,-0.25554910680269627,0.17935615096127414,1.1487306658826775,19
A,0.0,-3.0,2.75,-3.75,0.29540021546726447,0.3041429513635761,0.04583430417772316,0.10141441129042844,-0.25554910680269627,0.17935615096127414,1.1487306658826775,19
A,0.0,-3.0,2.75,-3.5,0.29540021546726447,0.3041429513635761,0.04583430417772316,0.10141441129042844,-0.25554910680269627,0.17935615096127414,1.1487306658826775,19
A,0.0,-3.0,3.0,-4.5,0.19426261782935764,0.20087884474220588,0.03529646556281674,0.10281233919782055,-0.25554910680269627,0.1381200897331578,0.8076598195058384,16
A,0.0,-3.0,3.0,-4.25,0.24361012116288067,0.25101954662380516,0.04013239328451501,0.09990862422823187,-0.25554910680269627,0.15704376269059053,0.9573089318376902,16
A,0.0,-3.0,3.0,-4.0,0.24105361849044624,0.24848819683550927,0.03986489568984841,0.09989561466468305,-0.25554910680269627,0.15599700655822368,0.94873534637985,17
A,0.0,-3.0,3.0,-3.75,0.24105361849044624,0.24848819683550927,0.03986489568984841,0.09989561466468305,-0.25554910680269627,0.15599700655822368,0.94873534637985,17
A,0.0,-3.0,3.0,-3.5,0.24105361849044624,0.24848819683550927,0.03986489568984841,0.09989561466468305,-0.25554910680269627,0.15599700655822368,0.94873534637985,17
A,0.0,-3.0,3.25,-4.5,0.17297124027431968,0.17995968271635893,0.032840883697496714,0.10020406623163641,-0.2555491068026973,0.12851104865278315,0.7358606133310301,16
A,0.0,-3.0,3.25,-4.25,0.2231837129715388,0.23149439704312966,0.037665341258897644,0.09722295243711615,-0.2555491068026973,0.14738983724164628,0.8795657491722564,16
A,0.0,-3.0,3.25,-4.0,0.2205547254577376,0.22886097090343535,0.03739847813200359,0.09720955558482078,-0.2555491068026973,0.14634556387190958,0.871332701587366,17
A,0.0,-3.0,3.25,-3.75,0.2205547254577376,0.22886097090343535,0.03739847813200359,0.09720955558482078,-0.2555491068026973,0.14634556387190958,0.871332701587366,17
A,0.0,-3.0,3.25,-3.5,0.2205547254577376,0.22886097090343535,0.03739847813200359,0.09720955558482078,-0.2555491068026973,0.14634556387190958,0.871332701587366,17
A,0.0,-2.75,2.25,-4.5,0.032544476383085615,0.033353329255092,0.017824009136920838,0.10820480874275272,-0.2977024018597451,0.05987190236146689,0.3519273398778828,20
A,0.0,-2.75,2.25,-4.25,0.05726805730034597,0.05865190503452049,0.020636478232280098,0.1065299036562195,-0.2977024018597451,0.06931915262814187,0.417120930636377,22
A,0.0,-2.75,2.25,-4.0,0.05775374469198225,0.059164224695515674,0.02068953089084502,0.10652492600531367,-0.2977024018597451,0.06949735965043495,0.4183786775143732,23
A,0.0,-2.75,2.25,-3.75,0.05775374469198225,0.059164224695515674,0.02068953089084502,0.10652492600531367,-0.2977024018597451,0.06949735965043495,0.4183786775143732,23
A,0.0,-2.75,2.25,-3.5,0.05775374469198225,0.059164224695515674,0.02068953089084502,0.10652492600531367,-0.2977024018597451,0.06949735965043495,0.4183786775143732,23
A,0.0,-2.75,2.5,-4.5,0.08245118612332714,0.0844895885697585,0.023348994601578354,0.10766913977672864,-0.29770240185975,0.0784306557680319,0.4827920514688262,20
A,0.0,-2.75,2.5,-4.25,0.11494519951618243,0.11767740755472067,0.0269178086462043,0.10556044748455647,-0.29770240185975,0.09041851351567361,0.5735655992281334,22
A,0.0,-2.75,2.5,-4.0,0.11543813024475165,0.11821217974808812,0.026971187808166874,0.1055554124477064,-0.29770240185975,0.09059781728221736,0.5749621964958505,23
A,0.0,-2.75,2.5,-3.75,0.11543813024475165,0.11821217974808812,0.026971187808166874,0.1055554124477064,-0.29770240185975,0.09059781728221736,0.5749621964958505,23
A,0.0,-2.75,2.5,-3.5,0.11543813024475165,0.11821217974808812,0.026971187808166874,0.1055554124477064,-0.29770240185975,0.09059781728221736,0.5749621964958505,23
A,0.0,-2.75,2.75,-4.5,0.25227354965940724,0.25928723041684537,0.04102115552590657,0.09983481278415345,-0.26484544458224274,0.15488714782544893,0.9860504075731418,18
A,0.0,-2.75,2.75,-4.25,0.25227354965940724,0.25928723041684537,0.04102115552590657,0.09983481278415345,-0.26484544458224274,0.15488714782544893,0.9860504075731418,18
A,0.0,-2.75,2.75,-4.0,0.25280247713540066,0.25989988677858095,0.04107526777948656,0.09982946227268814,-0.26484544458224274,0.15509146417178193,0.9878131002591828,19
A,0.0,-2.75,2.75,-3.75,0.25280247713540066,0.25989988677858095,0.04107526777948656,0.09982946227268814,-0.26484544458224274,0.15509146417178193,0.9878131002591828,19
