combo,signal,base,f1_slope,f2_sma,f3_move,f4_xtenor,sharpe,sortino,ann_ret,vol,mdd,calmar,excess,n_events,eq_final
F3+F4,z_std,optimized,,,"(80, 120)",2.0,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,21,1.646115559715956
F1+F3,z_std,optimized,-1.0,,"(80, 140)",,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,25,1.646115559715956
F1+F3,z_std,optimized,-0.25,,"(80, 140)",,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,25,1.646115559715956
F1+F3,z_std,optimized,-0.5,,"(80, 120)",,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,25,1.646115559715956
F1+F3+F4,z_std,optimized,-0.25,,"(80, 120)",2.0,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,21,1.646115559715956
F1+F3,z_std,optimized,-1.0,,"(80, 120)",,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,25,1.646115559715956
F1+F3,z_std,optimized,-0.25,,"(80, 120)",,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,25,1.646115559715956
F1+F3+F4,z_std,optimized,-0.5,,"(80, 120)",2.0,0.10521527179267312,0.11726947179333029,0.029633423735807796,0.09155917740525799,-0.2360775871295131,0.12552408763628536,0.0457545673839691,21,1.646115559715956
F1+F2+F3+F4,z_move,baseline,-0.25,100.0,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,7,1.637884791923403
F2+F3,z_move,baseline,,200.0,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,10,1.637884791923403
F1+F3+F4,z_move,baseline,0.0,,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,13,1.637884791923403
F1+F2+F3,z_move,baseline,-0.5,200.0,"(90, 130)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,10,1.637884791923403
F1+F2+F3+F4,z_move,baseline,-0.25,100.0,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,7,1.637884791923403
F1+F3+F4,z_move,baseline,-0.25,,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,13,1.637884791923403
F1+F2+F3,z_move,baseline,-0.5,200.0,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,10,1.637884791923403
F1+F2+F3+F4,z_move,baseline,0.0,200.0,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,8,1.637884791923403
F2+F3,z_move,baseline,,100.0,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,9,1.637884791923403
F2+F3,z_move,baseline,,200.0,"(90, 130)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,10,1.637884791923403
F1+F2+F3,z_move,baseline,-0.5,100.0,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,9,1.637884791923403
F1+F3+F4,z_move,baseline,-0.5,,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,13,1.637884791923403
F1+F2+F3+F4,z_move,baseline,-0.25,200.0,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,8,1.637884791923403
F2+F3,z_move,baseline,,100.0,"(90, 130)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,9,1.637884791923403
F1+F3+F4,z_move,baseline,-1.0,,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,13,1.637884791923403
F1+F2+F3,z_move,baseline,-0.5,100.0,"(90, 130)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,9,1.637884791923403
F1+F3+F4,z_move,baseline,-0.5,,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,13,1.637884791923403
F1+F2+F3+F4,z_move,baseline,-0.25,200.0,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,8,1.637884791923403
F1+F2+F3,z_move,baseline,-0.25,200.0,"(90, 130)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,10,1.637884791923403
F1+F2+F3,z_move,baseline,-0.25,100.0,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,9,1.637884791923403
F1+F2+F3+F4,z_move,baseline,-0.5,100.0,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,7,1.637884791923403
F3,z_move,baseline,,,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,16,1.637884791923403
F1+F2+F3,z_move,baseline,0.0,100.0,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,9,1.637884791923403
F3,z_move,baseline,,,"(90, 130)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,16,1.637884791923403
F1+F2+F3,z_move,baseline,0.0,200.0,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,10,1.637884791923403
F1+F2+F3+F4,z_move,baseline,-0.5,200.0,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,8,1.637884791923403
F1+F2+F3+F4,z_move,baseline,-0.5,100.0,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,7,1.637884791923403
F1+F2+F3,z_move,baseline,-0.25,200.0,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,10,1.637884791923403
F1+F2+F3,z_move,baseline,-0.25,100.0,"(90, 130)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,9,1.637884791923403
F1+F2+F3,z_move,baseline,0.0,100.0,"(90, 130)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,9,1.637884791923403
F1+F3+F4,z_move,baseline,-1.0,,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,13,1.637884791923403
F1+F2+F3,z_move,baseline,0.0,200.0,"(90, 130)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,10,1.637884791923403
F1+F2+F3+F4,z_move,baseline,-1.0,100.0,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,7,1.637884791923403
F1+F2+F3+F4,z_move,baseline,-1.0,100.0,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,7,1.637884791923403
F1+F2+F3+F4,z_move,baseline,-1.0,200.0,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,8,1.637884791923403
F3+F4,z_move,baseline,,,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,13,1.637884791923403
F3+F4,z_move,baseline,,,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,13,1.637884791923403
F1+F2+F3,z_move,baseline,-1.0,100.0,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,9,1.637884791923403
F1+F2+F3,z_move,baseline,-1.0,100.0,"(90, 130)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,9,1.637884791923403
F1+F2+F3+F4,z_move,baseline,-1.0,200.0,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,8,1.637884791923403
F1+F2+F3+F4,z_move,baseline,-0.5,200.0,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,8,1.637884791923403
F1+F3,z_move,baseline,-0.25,,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,16,1.637884791923403
F1+F2+F3+F4,z_move,baseline,0.0,200.0,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,8,1.637884791923403
F1+F3+F4,z_move,baseline,0.0,,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,13,1.637884791923403
F1+F2+F3+F4,z_move,baseline,0.0,100.0,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,7,1.637884791923403
F1+F3+F4,z_move,baseline,-0.25,,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,13,1.637884791923403
F1+F3,z_move,baseline,-0.25,,"(90, 130)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,16,1.637884791923403
F1+F3,z_move,baseline,0.0,,"(90, 130)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,16,1.637884791923403
F1+F2+F3+F4,z_move,baseline,0.0,100.0,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,7,1.637884791923403
F1+F3,z_move,baseline,-1.0,,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,16,1.637884791923403
F2+F3+F4,z_move,baseline,,200.0,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,8,1.637884791923403
F1+F3,z_move,baseline,-0.5,,"(90, 130)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,16,1.637884791923403
F1+F2+F3,z_move,baseline,-1.0,200.0,"(90, 130)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,10,1.637884791923403
F1+F3,z_move,baseline,0.0,,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,16,1.637884791923403
F1+F2+F3,z_move,baseline,-1.0,200.0,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,10,1.637884791923403
F2+F3+F4,z_move,baseline,,200.0,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,8,1.637884791923403
F2+F3+F4,z_move,baseline,,100.0,"(100, 150)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,7,1.637884791923403
F2+F3+F4,z_move,baseline,,100.0,"(90, 130)",2.0,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,7,1.637884791923403
F1+F3,z_move,baseline,-0.5,,"(100, 150)",,0.09352471911237774,0.10956888557993867,0.02933106813627573,0.09977114312488523,-0.23607758712951366,0.12424334089870429,0.045452211784437035,16,1.637884791923403
