DATE,steep_2s5s,steep_5s10s,steep_10s20s,steep_20s30s,steep_2s10s,steep_2s30s,steep_5s30s,steep_10s30s,flat_10s2s,flat_30s2s,flat_30s5s,flat_30s10s,bfly_2s5s10s_pos,bfly_2s5s10s_neg,bfly_2s10s30s_pos,bfly_2s10s30s_neg,bfly_5s10s30s_pos,bfly_5s10s30s_neg,bh_tlt,bh_shv,bh_ief,bh_50_50,barbell_shy_tlt,barbell_shy_ief,barbell_iei_tlt
2016-01-19,-1.1280805740814612,-0.4474598040324313,0.34959551583799564,-0.05119711430917957,-0.8289631329772772,-0.5140822127250252,-0.13718749719738682,-0.15302283662475263,0.3763595157518562,0.22194863941485435,-0.0890044445200969,-0.4966634125846432,-0.5024874355533556,-0.3533713749025196,-0.7966568324333354,-0.023379246546242724,-0.7670001084846119,-0.10554209516334197,0.3437315699919784,-0.988158858787995,0.4428884779317775,0.31815128785838137,0.03127654969571553,0.06978319762423031,0.28883685763260825
2016-01-20,-1.1003730536002858,-0.4031010198838683,0.373940142869596,-0.036502933139114124,-0.7851955811130669,-0.4600435967962297,-0.09242913639915952,-0.11583986262082722,0.37847470977239606,0.21589225184085314,-0.09315142812585833,-0.5349872481175341,-0.49008818779415747,-0.3341786640498408,-0.8386342554481896,0.012776802245419258,-0.8151285346867719,-0.06379892971953603,0.46017726613715826,-0.7325348311277606,0.5788440277259777,0.4348296046801088,0.20245203848084511,0.27088834054870914,0.4419321428817015
2016-01-21,-1.0924295228309873,-0.290560220505131,0.2940278610430601,0.04659158268826305,-0.7153904202476008,-0.3687667016337155,0.01852981802465889,-0.02440629916142763,0.2959584076107512,0.12350834558260826,-0.20483444513120333,-0.6162071360521854,-0.6149816501397171,-0.2120093292475585,-0.9155263719098266,0.09659297293326856,-0.8816178125177616,0.01237875140883167,0.32063561696892795,-0.7190649582338513,0.4683648513224023,0.2978484043481332,0.14143345532859608,0.23706944461703616,0.3705396351527035
2016-01-22,-0.9414722013456872,-0.2707311585934802,0.19310999967113357,0.12902098154376276,-0.6050610794785805,-0.275420409402513,0.043129133103295025,0.004798192950072205,0.17883767847121873,0.026969153080113287,-0.24072113760021488,-0.6511050091643834,-0.5824273693898977,-0.25416403303415486,-0.9300974538658224,0.10420586849349305,-0.9156747463167254,0.04294983420422148,0.15784180854652902,-1.174079763479096,0.28526320883674,0.13293955049655581,-0.04027521157223917,0.042901885524016754,0.1694444114476702
2016-01-25,-0.9748735979480995,-0.3881525922703431,0.22139071359970486,0.14187295592053947,-0.6929310400983799,-0.31364866192051793,0.02665266988385109,0.05889515990193496,0.2471813433046706,0.06154607265366063,-0.2290686830584253,-0.7063628681487498,-0.5081015148908162,-0.3434855015216613,-1.0124837017662613,0.18054012565759175,-1.0062947371241557,0.12725617637391629,0.21898067951686895,-1.2414061600876074,0.36572539156606604,0.19101970780379413,-0.03967524632625027,0.05642375952853238,0.19012818505284718
2016-01-26,-0.9038793616211611,-0.3695689821968697,0.15583165663243786,0.1926707038592756,-0.6434269806215351,-0.2776715245200014,0.023431112946984006,0.07132603623534843,0.19085479356752502,0.029976921095984793,-0.22617630560507054,-0.6754312693339735,-0.47033961394065976,-0.34671554983423564,-0.968892047605141,0.18179968976131428,-0.967481976671906,0.14244386298192796,0.20654100647083729,-1.0998962552697515,0.3352094899932321,0.1805957760504265,0.011678374229969132,0.09572838139759819,0.22490207857021505
2016-01-27,-0.9502894067042043,-0.42502487349910356,0.27515786774640494,0.1238426664695119,-0.6989366720835944,-0.3023742072314686,0.041215402460265275,0.13935980806620654,0.24648585997965616,0.06391342683786652,-0.18126498715425907,-0.6543422228146608,-0.4216934037212273,-0.3922388878091164,-0.9575673612383364,0.2688725235703372,-0.9687279404098736,0.2237667135573963,0.301489222293174,-1.049012160569892,0.458304208442988,0.2749127567419783,0.0794397052216159,0.18771243179535824,0.29089330007334613
2016-01-28,-1.03617214370356,-0.32897035118256784,0.2930079340046036,0.11689971688707203,-0.7098838248549582,-0.2918026317760113,0.10625521677880781,0.17294004362883622,0.270336891614409,0.09252900480098716,-0.23873207842667785,-0.6612193809377156,-0.576859515625465,-0.23375362413375272,-0.9772160350193833,0.3062820139316072,-0.953124006000958,0.23509957402511017,0.2866971312477174,-1.0338598276348294,0.4455305780310704,0.2558153115534959,0.04742987370950889,0.16548010044789677,0.28281463158729314
2016-01-29,-0.9562159996441127,-0.21767313545407194,0.48589704154675173,0.2277685131491292,-0.5940630951597384,-0.08350567217983423,0.31132027359357173,0.4274189211760333,0.20878619749032679,-0.04049070220166133,-0.4691209318161768,-0.9425410237798,-0.656357416063743,-0.15128925943155735,-1.207212144176844,0.5325308306866251,-1.181527203029845,0.46974185688268316,0.4242871459749715,-0.9874800899353545,0.6760510696842243,0.39679719157259324,0.34169090966519033,0.5464021516086421,0.5641259810550514
2016-02-01,-0.7680573714356737,-0.3734484662566193,0.10467349479493943,0.32592483599121225,-0.5485637936743328,-0.1638497751430736,0.05126207001074783,0.14054862917499,0.18302049542180215,0.05495267928777252,-0.26747776134529805,-0.6849715461343431,-0.4801554774141144,-0.37876040644565134,-0.9478613202821409,0.22027387380126717,-0.9391597368383608,0.19441061548956728,0.24916921017903074,-1.353567516091629,0.30942868389669964,0.2130570327846159,0.02593075939664316,0.06698945611749699,0.26149097079634803
