combo_id,k,strategies,method,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret
1044,3,steep_10s20s+bh_tlt+barbell_iei_tlt,equal_weight,-0.0623892517528143,-0.06055455287302232,-0.0015418831099551777,0.15435476150236224,-0.5370102071254473,-0.002871236132007057,-0.024691509144273094
1044,3,steep_10s20s+bh_tlt+barbell_iei_tlt,min_variance,-0.24847014441530438,-0.2424313622188858,0.0037734624804548478,0.0584576494997403,-0.212222581610235,0.017780683147965545,0.06292443786404922
1044,3,steep_10s20s+bh_tlt+barbell_iei_tlt,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
1044,3,steep_10s20s+bh_tlt+barbell_iei_tlt,risk_parity,-0.11923531444036335,-0.1158493221266136,0.003053812028942504,0.10012512640260963,-0.382404280003772,0.007985820736400705,0.050644336201438156
1041,3,steep_10s20s+bh_tlt+bh_50_50,equal_weight,-0.06269878778068241,-0.060956979149064165,-0.00457655490119202,0.1677409067726129,-0.5591480299157844,-0.00818487172686867,-0.0716266253064608
1041,3,steep_10s20s+bh_tlt+bh_50_50,min_variance,-0.24847014441530427,-0.24243136221888573,0.0037734624804548478,0.0584576494997403,-0.21222258161023538,0.017780683147965513,0.06292443786404922
1041,3,steep_10s20s+bh_tlt+bh_50_50,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
1041,3,steep_10s20s+bh_tlt+bh_50_50,risk_parity,-0.1193132518679001,-0.11557969643710492,0.0014459172595724379,0.10728240919886245,-0.39476460283006826,0.0036627328012862705,0.023686555488027006
7908,4,steep_10s20s+bh_tlt+bh_ief+barbell_iei_tlt,equal_weight,-0.06342467081175697,-0.061541466899934935,-0.00025638674428318797,0.14760744404787549,-0.5248487994124492,-0.0004884963909038268,-0.004145989872443634
7908,4,steep_10s20s+bh_tlt+bh_ief+barbell_iei_tlt,min_variance,-0.24847014441530432,-0.24243136221888575,0.0037734624804548478,0.0584576494997403,-0.21222258161023602,0.017780683147965458,0.06292443786404833
7908,4,steep_10s20s+bh_tlt+bh_ief+barbell_iei_tlt,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
7908,4,steep_10s20s+bh_tlt+bh_ief+barbell_iei_tlt,risk_parity,-0.10557028252268297,-0.10261753765079627,0.0030935660670703413,0.106485313124879,-0.40587969984442795,0.007621879261899752,0.0513192097702837
7905,4,steep_10s20s+bh_tlt+bh_ief+bh_50_50,equal_weight,-0.06389326632578665,-0.06195434170068117,-0.002340528422828947,0.15693764312411143,-0.541621597275,-0.004321335106658569,-0.03725488607207594
7905,4,steep_10s20s+bh_tlt+bh_ief+bh_50_50,min_variance,-0.24847014441530427,-0.24243136221888573,0.0037734624804548478,0.0584576494997403,-0.2122225816102358,0.017780683147965475,0.06292443786404833
7905,4,steep_10s20s+bh_tlt+bh_ief+bh_50_50,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
7905,4,steep_10s20s+bh_tlt+bh_ief+bh_50_50,risk_parity,-0.1056351023469538,-0.1024089765343968,0.0018430046267781108,0.11225383554141363,-0.41756377988499704,0.004413708074214914,0.030283059756242237
7911,4,steep_10s20s+bh_tlt+bh_50_50+barbell_iei_tlt,equal_weight,-0.06720741813623933,-0.0652846644527445,-0.0020241738078672356,0.15317500473333345,-0.5326280974214883,-0.0038003511599678753,-0.03229662829152746
7911,4,steep_10s20s+bh_tlt+bh_50_50+barbell_iei_tlt,min_variance,-0.24847014441530432,-0.24243136221888575,0.00377346248045507,0.05845764949974031,-0.2122225816102348,0.017780683147966606,0.06292443786404966
7911,4,steep_10s20s+bh_tlt+bh_50_50+barbell_iei_tlt,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
7911,4,steep_10s20s+bh_tlt+bh_50_50+barbell_iei_tlt,risk_parity,-0.11114225930600528,-0.10759353079403389,0.0021198368628179143,0.1082147566293855,-0.40782429545106974,0.005197917060025301,0.03490543085392783
42023,5,steep_10s20s+bh_tlt+bh_ief+bh_50_50+barbell_iei_tlt,equal_weight,-0.06732070603505341,-0.06532920592085616,-0.0008634216956321383,0.14775711444624534,-0.5236505514034278,-0.001648850924186168,-0.013898047996700025
42023,5,steep_10s20s+bh_tlt+bh_ief+bh_50_50+barbell_iei_tlt,min_variance,-0.24847014441530416,-0.24243136221888564,0.0037734624804548478,0.05845764949974032,-0.2122225816102358,0.017780683147965475,0.06292443786404833
42023,5,steep_10s20s+bh_tlt+bh_ief+bh_50_50+barbell_iei_tlt,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
42023,5,steep_10s20s+bh_tlt+bh_ief+bh_50_50+barbell_iei_tlt,risk_parity,-0.10183571777962214,-0.09883233717238919,0.0023005282331929333,0.1121142850960202,-0.4232580105707377,0.005435285749443491,0.03793298965220293
173,2,flat_10s2s+bh_tlt,equal_weight,-0.06798075904676373,-0.0662068541951536,-0.002770429122974538,0.15600522338595244,-0.523394264763655,-0.0052931973265422745,-0.0439545660596512
173,2,flat_10s2s+bh_tlt,min_variance,-0.888750996500552,-0.885281094784652,0.0033618857828230375,0.018533857406219132,-0.04437537655040923,0.07576016349977394,0.05588491462098655
173,2,flat_10s2s+bh_tlt,max_sharpe,-0.015810708632839197,-0.015438520724075033,-0.02924358735748178,0.29971594917757566,-0.7954503403493282,-0.036763561311243184,-0.3817620599233772
173,2,flat_10s2s+bh_tlt,risk_parity,-0.4615363282768633,-0.4488640307294052,0.0037462943092394507,0.033980749083961224,-0.11088959646398919,0.033784001643977844,0.06245840496090027
2020,3,flat_10s2s+bh_tlt+bh_ief,equal_weight,-0.06836107541043072,-0.0661636324356555,-0.000457887311616334,0.14515222679861958,-0.510872104191363,-0.0008962856023252703,-0.007393099269866865
2020,3,flat_10s2s+bh_tlt+bh_ief,min_variance,-0.8887509965005527,-0.8852810947846527,0.0033618857828230375,0.01853385740621912,-0.044375376550408845,0.07576016349977459,0.05588491462098655
2020,3,flat_10s2s+bh_tlt+bh_ief,max_sharpe,-0.015810708632839267,-0.015438520724075101,-0.02924358735748167,0.29971594917757566,-0.7954503403493277,-0.03676356131124306,-0.38176205992337675
2020,3,flat_10s2s+bh_tlt+bh_ief,risk_parity,-0.36899665652370395,-0.35759449105096847,0.0041998764704669345,0.04060839354550854,-0.14578618891411968,0.02880846602651102,0.07026416456697171
188,2,flat_30s2s+bh_tlt,equal_weight,-0.06922691805233586,-0.06747866123548836,-0.003404766006759097,0.15796016895305862,-0.5225967345586364,-0.0065150923869331506,-0.053760378293333244
188,2,flat_30s2s+bh_tlt,min_variance,-0.641298614746718,-0.6482250173800286,0.0025148692379257653,0.026713715861479817,-0.07982956212859696,0.031502981738451445,0.04153513761110972
188,2,flat_30s2s+bh_tlt,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
188,2,flat_30s2s+bh_tlt,risk_parity,-0.3556471456365663,-0.3492953513318515,0.0029473304647607,0.04510100141515271,-0.14496406208419677,0.02033145610288471,0.048838682988572746
2572,3,bh_tlt+bh_ief+barbell_shy_ief,equal_weight,-0.06943187884020997,-0.06750180934414166,-0.0026782105790467137,0.15458152211811754,-0.5488311830000987,-0.004879844043129437,-0.0425211053848209
2572,3,bh_tlt+bh_ief+barbell_shy_ief,min_variance,-0.4084363023550703,-0.3999158702775449,2.6809445422992795e-05,0.04627981027768736,-0.21531523843796835,0.00012451253156759971,0.00043446537802283025
2572,3,bh_tlt+bh_ief+barbell_shy_ief,max_sharpe,-0.01581070863283924,-0.015438520724075075,-0.02924358735748178,0.2997159491775757,-0.7954503403493284,-0.03676356131124317,-0.38176205992337797
2572,3,bh_tlt+bh_ief+barbell_shy_ief,risk_parity,-0.169776941449811,-0.16507499336892725,0.0009954605628548219,0.08874635585040894,-0.37068022017867436,0.0026854968478625387,0.016251450086574915
