combo_id,k,strategies,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,hit_rate,n_days
1904,3,steep_10s30s+bh_tlt+barbell_iei_tlt,-0.0757876700454284,-0.10604482893351062,0.000433257463032799,0.13605530079656258,-0.4999980694596773,0.000866518271762526,0.007042968074313816,0.52069556698506,4083
14893,4,bfly_2s5s10s_neg+bh_tlt+bh_ief+barbell_iei_tlt,-0.07605047865810577,-0.10642761970576721,0.0009457246433608457,0.1334571695188651,-0.4924386500644787,0.0019204923156153867,0.01543363701899425,0.520940484937546,4083
809,3,steep_5s10s+bh_tlt+bh_ief,-0.07609276005204536,-0.10646882488195289,-0.0002686179832794844,0.13914486709894147,-0.505758414416424,-0.0005311191581249969,-0.004343375688948825,0.5214303208425177,4083
15185,4,bfly_5s10s30s_neg+bh_tlt+bh_ief+bh_50_50,-0.07615404163769915,-0.10645643935982373,-0.0012540465738947182,0.14363503738540373,-0.5132233852345358,-0.0024434712251501104,-0.0201260040854212,0.5216752387950037,4083
15233,4,bh_tlt+bh_50_50+barbell_shy_ief+barbell_iei_tlt,-0.07621365458964385,-0.10663870762237822,-0.002551045884180869,0.1494330667422355,-0.5325238402538477,-0.004790482024175324,-0.04054112785056485,0.5219201567474896,4083
13861,4,flat_30s2s+bh_tlt+bh_50_50+barbell_iei_tlt,-0.07635554430862786,-0.10690480642399496,-0.0012207621111587352,0.1433572234016516,-0.5026728269221591,-0.002428542077027321,-0.019596772679312258,0.520940484937546,4083
15188,4,bfly_5s10s30s_neg+bh_tlt+bh_ief+barbell_iei_tlt,-0.07636291776442337,-0.10680579064860604,0.0006777367191994621,0.13452974083217142,-0.4956907517687533,0.0013672571392165812,0.01103769993848025,0.5216752387950037,4083
272,2,bfly_5s10s30s_neg+bh_tlt,-0.07657811954624545,-0.10712877065532544,-0.0026377074927107502,0.14957420280367015,-0.523352347985802,-0.005040022277271427,-0.04189088139598496,0.5214303208425177,4083
15232,4,bh_tlt+bh_50_50+barbell_shy_tlt+barbell_iei_tlt,-0.07709181980380761,-0.10787944030053831,-0.0030140097578594816,0.1508986713478074,-0.5352924772702574,-0.005630584934108413,-0.047731147315696165,0.5214303208425177,4083
15100,4,bfly_2s10s30s_neg+bh_tlt+bh_50_50+barbell_iei_tlt,-0.0771006516852767,-0.10785707265242132,-0.0006073427806344567,0.14006129980727167,-0.5044120348504312,-0.0012040608444533775,-0.009795100977201598,0.5214303208425177,4083
12166,4,steep_5s30s+bh_tlt+bh_50_50+barbell_iei_tlt,-0.077148790009481,-0.10796883446695563,-4.694109701131044e-05,0.13743547723722632,-0.5021618325695785,-9.347802633886234e-05,-0.0007602862232169993,0.5202057310800882,4083
2416,3,bfly_2s5s10s_neg+bh_tlt+bh_50_50,-0.07746189066770412,-0.10846676220137436,-0.002712665108625001,0.14932748028321927,-0.5182048422691524,-0.005234735161382493,-0.04305690824116715,0.5202057310800882,4083
67895,5,bfly_2s5s10s_neg+bh_tlt+bh_ief+bh_50_50+barbell_iei_tlt,-0.077496335545531,-0.10841186397925391,0.00010870289723285964,0.13648562413924079,-0.49781814088467075,0.00021835865008792995,0.001762701767802799,0.5202057310800882,4083
12846,4,steep_10s30s+bh_tlt+bh_50_50+barbell_iei_tlt,-0.07761550639795665,-0.1085597978589994,-0.0004962335846470101,0.13921733194298155,-0.5047783018750714,-0.0009830723365162077,-0.008009909477811106,0.520940484937546,4083
6365,4,steep_5s10s+bh_tlt+bh_ief+bh_50_50,-0.07773408258218345,-0.10873240710367184,-0.0010483055395545948,0.1416737087185377,-0.5091188893176827,-0.0020590584273145435,-0.016850371940622333,0.5219201567474896,4083
68336,5,bfly_5s10s30s_neg+bh_tlt+bh_ief+bh_50_50+barbell_iei_tlt,-0.07781899980387397,-0.10880822240780863,-8.703056738779136e-05,0.13719036846070395,-0.5003533168080604,-0.0001739382241792493,-0.0014091699581554318,0.520940484937546,4083
2565,3,bh_tlt+bh_shv+bh_ief,-0.07794743786668558,-0.10890697619638391,-0.0010827772188087836,0.14168985815058055,-0.5084235114502741,-0.002129675741627625,-0.017399915976066382,0.520940484937546,4083
6368,4,steep_5s10s+bh_tlt+bh_ief+barbell_iei_tlt,-0.07816869785981291,-0.10939195387425087,0.0008915064561791919,0.13237486327079004,-0.49140995523978664,0.0018141806991764657,0.014542825049232766,0.5194709772226305,4083
2592,3,bh_ief+bh_50_50+barbell_iei_tlt,-0.0783173538523972,-0.10950170876239357,0.0014332866657429388,0.12969396273701542,-0.48479129865106907,0.0029565024573070028,0.023477384969524673,0.5214303208425177,4083
2546,3,bfly_5s10s30s_neg+bh_tlt+bh_50_50,-0.07834316017759975,-0.10958177014905035,-0.002941201741875732,0.14975131812072934,-0.5220472613736816,-0.005633976000824987,-0.0466037690621981,0.5211854028900318,4083
2419,3,bfly_2s5s10s_neg+bh_tlt+barbell_iei_tlt,-0.07865955106637482,-0.11015388552329217,0.00010292519409982326,0.13577646150966358,-0.49437727742299536,0.00020819159536687035,0.0016689385198549456,0.52069556698506,4083
15215,4,bh_tlt+bh_shv+bh_ief+bh_50_50,-0.07904652064032824,-0.11045767543165473,-0.001672751358097524,0.14365223167085628,-0.511140708396368,-0.0032725848883090247,-0.026760662361381637,0.5216752387950037,4083
