DATE,mode
2011-12-20,FLAT
2011-12-21,FLAT
2011-12-22,FLAT
2011-12-23,FLAT
2011-12-27,FLAT
2011-12-28,FLAT
2011-12-29,FLAT
2011-12-30,FLAT
2012-01-03,FLAT
2012-01-04,FLAT
2012-01-05,FLAT
2012-01-06,FLAT
2012-01-09,FLAT
2012-01-10,FLAT
2012-01-11,FLAT
2012-01-12,FLAT
2012-01-13,FLAT
2012-01-17,FLAT
2012-01-18,FLAT
2012-01-19,FLAT
2012-01-20,FLAT
2012-01-23,FLAT
2012-01-24,FLAT
2012-01-25,FLAT
2012-01-26,FLAT
2012-01-27,FLAT
2012-01-30,FLAT
2012-01-31,FLAT
2012-02-01,FLAT
2012-02-02,FLAT
2012-02-03,FLAT
2012-02-06,FLAT
2012-02-07,FLAT
2012-02-08,FLAT
2012-02-09,FLAT
2012-02-10,FLAT
2012-02-13,FLAT
2012-02-14,FLAT
2012-02-15,FLAT
2012-02-16,FLAT
2012-02-17,FLAT
2012-02-21,FLAT
2012-02-22,FLAT
2012-02-23,FLAT
2012-02-24,FLAT
2012-02-27,FLAT
2012-02-28,FLAT
2012-02-29,FLAT
2012-03-01,FLAT
2012-03-02,FLAT
2012-03-05,FLAT
2012-03-06,FLAT
2012-03-07,FLAT
2012-03-08,FLAT
2012-03-09,FLAT
2012-03-12,FLAT
2012-03-13,FLAT
2012-03-14,FLAT
2012-03-15,FLAT
2012-03-16,FLAT
2012-03-19,FLAT
2012-03-20,FLAT
2012-03-21,FLAT
2012-03-22,FLAT
2012-03-23,FLAT
2012-03-26,FLAT
2012-03-27,FLAT
2012-03-28,FLAT
2012-03-29,FLAT
2012-03-30,FLAT
2012-04-02,FLAT
2012-04-03,FLAT
2012-04-04,FLAT
2012-04-05,FLAT
2012-04-09,FLAT
2012-04-10,FLAT
2012-04-11,FLAT
2012-04-12,FLAT
2012-04-13,FLAT
2012-04-16,FLAT
2012-04-17,FLAT
2012-04-18,FLAT
2012-04-19,FLAT
2012-04-20,FLAT
2012-04-23,FLAT
2012-04-24,FLAT
2012-04-25,FLAT
2012-04-26,FLAT
2012-04-27,FLAT
2012-04-30,FLAT
2012-05-01,FLAT
2012-05-02,FLAT
2012-05-03,FLAT
2012-05-04,FLAT
2012-05-07,FLAT
