pair,z_window,filter_thresh,sharpe,delta,n_dead,win_rate
1W-6M,126,-1.0,0.4036878891431483,-0.016005853490828392,3,0.7777777777777778
1W-6M,126,-0.5,0.3925996528817002,-0.027094089752276507,3,0.7777777777777778
1W-6M,126,0.5,0.3716183889782815,-0.04807535365569521,5,0.7222222222222222
1W-6M,126,1.0,0.3801901887095412,-0.0395035539244355,4,0.7222222222222222
1W-6M,126,1.5,0.38597857803205676,-0.03371516460191992,4,0.7777777777777778
1M-3M,42,-1.5,0.4196937426339767,0.0,3,0.7777777777777778
1M-3M,42,-1.0,0.4201773038599031,0.00048356122592640993,3,0.7777777777777778
1M-3M,42,-0.5,0.4322977880095554,0.012604045375578687,2,0.8333333333333334
1M-3M,42,0.5,0.4308992473594705,0.011205504725493809,4,0.7777777777777778
1M-3M,42,1.0,0.3709126840702136,-0.04878105856376308,4,0.7777777777777778
1M-3M,42,1.5,0.3825208446044072,-0.03717289802956947,4,0.7777777777777778
1M-3M,63,-1.5,0.4196937426339767,0.0,3,0.7777777777777778
1M-3M,63,-1.0,0.4201773038599031,0.00048356122592640993,3,0.7777777777777778
1M-3M,63,-0.5,0.4266910067921147,0.006997264158138006,3,0.7777777777777778
1M-3M,63,0.5,0.37785188094438715,-0.04184186168958953,4,0.7777777777777778
1M-3M,63,1.0,0.3690320732384223,-0.05066166939555439,4,0.7777777777777778
1M-3M,63,1.5,0.42311084540892624,0.003417102774949554,3,0.7777777777777778
1M-3M,126,-1.5,0.4196937426339767,0.0,3,0.7777777777777778
1M-3M,126,-1.0,0.4266910067921147,0.006997264158138006,3,0.7777777777777778
1M-3M,126,-0.5,0.46012009235403967,0.04042634972006298,2,0.8333333333333334
1M-3M,126,0.5,0.39435615180730865,-0.025337590826668033,4,0.7777777777777778
1M-3M,126,1.0,0.3690320732384223,-0.05066166939555439,4,0.7777777777777778
1M-3M,126,1.5,0.42311084540892624,0.003417102774949554,3,0.7777777777777778
1M-6M,42,-1.5,0.4196937426339767,0.0,3,0.7777777777777778
1M-6M,42,-1.0,0.41277410660805075,-0.006919636025925935,3,0.7777777777777778
1M-6M,42,-0.5,0.39581438854882056,-0.023879354085156124,2,0.8333333333333334
1M-6M,42,0.5,0.28096327457778897,-0.13873046805618772,5,0.7777777777777778
1M-6M,42,1.0,0.3697104710382138,-0.04998327159576288,4,0.7777777777777778
1M-6M,42,1.5,0.42639132288926396,0.006697580255287272,3,0.7777777777777778
1M-6M,63,-1.5,0.4196937426339767,0.0,3,0.7777777777777778
1M-6M,63,-1.0,0.41249527565063143,-0.007198466983345253,3,0.7777777777777778
1M-6M,63,-0.5,0.386812704210945,-0.032881038423031694,5,0.7777777777777778
1M-6M,63,0.5,0.23569155590600746,-0.18400218672796922,5,0.7777777777777778
1M-6M,63,1.0,0.3731307972378354,-0.04656294539614131,4,0.7777777777777778
1M-6M,63,1.5,0.38438921336638227,-0.03530452926759442,4,0.7777777777777778
1M-6M,126,-1.5,0.4196937426339767,0.0,3,0.7777777777777778
1M-6M,126,-1.0,0.3958546620174368,-0.023839080616539887,3,0.7777777777777778
1M-6M,126,-0.5,0.37463539298628995,-0.045058349647686735,5,0.7777777777777778
1M-6M,126,0.5,0.2825474752738498,-0.13714626736012686,5,0.7777777777777778
1M-6M,126,1.0,0.3731307972378354,-0.04656294539614131,4,0.7777777777777778
1M-6M,126,1.5,0.387281026004074,-0.032412716629902694,4,0.7777777777777778
3M-6M,42,-1.5,0.4196937426339767,0.0,3,0.7777777777777778
3M-6M,42,-1.0,0.42408986273176114,0.0043961200977844506,3,0.7777777777777778
3M-6M,42,-0.5,0.3696505994820608,-0.05004314315191588,4,0.7777777777777778
3M-6M,42,0.5,0.2943550068392185,-0.12533873579475818,4,0.7777777777777778
3M-6M,42,1.0,0.2961050120293331,-0.12358873060464359,4,0.7777777777777778
3M-6M,42,1.5,0.38608746278274364,-0.033606279851233045,4,0.7777777777777778
3M-6M,63,-1.5,0.4196937426339767,0.0,3,0.7777777777777778
3M-6M,63,-1.0,0.424451879928402,0.004758137294425313,3,0.7777777777777778
3M-6M,63,-0.5,0.40493429273392895,-0.014759449900047739,3,0.7777777777777778
3M-6M,63,0.5,0.23577653778686,-0.18391720484711668,4,0.7222222222222222
3M-6M,63,1.0,0.2961050120293331,-0.12358873060464359,4,0.7777777777777778
3M-6M,63,1.5,0.3831959444161933,-0.03649779821778337,4,0.7777777777777778
3M-6M,126,-1.5,0.4196937426339767,0.0,3,0.7777777777777778
3M-6M,126,-1.0,0.3958546620174368,-0.023839080616539887,3,0.7777777777777778
3M-6M,126,-0.5,0.3884763508742412,-0.03121739175973548,5,0.7777777777777778
3M-6M,126,0.5,0.29778452302125574,-0.12190921961272094,4,0.7777777777777778
3M-6M,126,1.0,0.2961050120293331,-0.12358873060464359,4,0.7777777777777778
3M-6M,126,1.5,0.38179015820396567,-0.03790358443001102,4,0.7777777777777778
