pair,z_window,k_spread,sharpe,delta_sharpe,n_dead,win_rate,n_events
1W-3M,42,0.1,0.333754715154207,-0.08593902747976967,4,0.7777777777777778,60
1W-3M,42,-0.1,0.177170736872872,-0.2425230057611047,5,0.6666666666666666,51
1W-3M,42,0.2,0.33345481864255205,-0.08623892399142463,4,0.7777777777777778,62
1W-3M,42,-0.2,0.1155019486695104,-0.3041917939644663,5,0.6111111111111112,49
1W-3M,42,0.3,0.40966908414526154,-0.010024658488715144,4,0.7777777777777778,67
1W-3M,42,-0.3,0.1286738340354777,-0.291019908598499,4,0.6111111111111112,50
1W-3M,42,0.5,0.11626691226075643,-0.30342683037322027,2,0.5555555555555556,97
1W-3M,42,-0.5,0.01785002322338567,-0.401843719410591,4,0.6111111111111112,55
1W-3M,42,0.75,-0.058582360318914915,-0.4782761029528916,2,0.5,125
1W-3M,42,-0.75,-0.08742656416355912,-0.5071203067975358,5,0.4444444444444444,72
1W-3M,42,1.0,-0.19856669944341418,-0.6182604420773908,0,0.5,178
1W-3M,42,-1.0,-0.09955894538255723,-0.5192526880165339,3,0.4444444444444444,105
1W-3M,63,0.1,0.33303415965759436,-0.08665958297638232,4,0.7777777777777778,59
1W-3M,63,-0.1,0.17430255226307162,-0.24539119037090507,4,0.7222222222222222,49
1W-3M,63,0.2,0.3079070378450662,-0.11178670478891051,4,0.7777777777777778,62
1W-3M,63,-0.2,0.1155019486695104,-0.3041917939644663,5,0.6111111111111112,48
1W-3M,63,0.3,0.3609291731676805,-0.05876456946629621,4,0.7777777777777778,67
1W-3M,63,-0.3,0.1286738340354777,-0.291019908598499,4,0.6111111111111112,49
1W-3M,63,0.5,0.14188880523734865,-0.27780493739662804,2,0.6111111111111112,95
1W-3M,63,-0.5,-0.021282007910048875,-0.44097575054402555,5,0.5555555555555556,57
1W-3M,63,0.75,0.006919547778822317,-0.4127741948551544,1,0.5555555555555556,124
1W-3M,63,-0.75,-0.022825291970469525,-0.4425190346044462,3,0.5,74
1W-3M,63,1.0,-0.21181699367243012,-0.6315107363064068,2,0.3888888888888889,176
1W-3M,63,-1.0,-0.07708050488068063,-0.4967742475146573,3,0.4444444444444444,101
1W-3M,126,0.1,0.33303415965759436,-0.08665958297638232,4,0.7777777777777778,59
1W-3M,126,-0.1,0.17430255226307162,-0.24539119037090507,4,0.7222222222222222,49
1W-3M,126,0.2,0.2920524332447129,-0.12764130938926377,4,0.7777777777777778,62
1W-3M,126,-0.2,0.11334792138540027,-0.3063458212485764,5,0.5555555555555556,50
1W-3M,126,0.3,0.3698205357358324,-0.049873206898144284,4,0.7777777777777778,70
1W-3M,126,-0.3,0.0978372028342101,-0.3218565397997666,4,0.6111111111111112,49
1W-3M,126,0.5,0.09856287734700199,-0.3211308652869747,3,0.5555555555555556,89
1W-3M,126,-0.5,-0.005705938826876928,-0.4253996814608536,4,0.5555555555555556,59
1W-3M,126,0.75,-0.0637343791413324,-0.4834281217753091,1,0.5,130
1W-3M,126,-0.75,-0.09312576376172306,-0.5128195063956997,4,0.4444444444444444,75
1W-3M,126,1.0,-0.1383573061711974,-0.5580510488051741,2,0.5,165
1W-3M,126,-1.0,-0.08183127270973387,-0.5015250153437105,4,0.5,95
1W-3M,252,0.1,0.33303415965759436,-0.08665958297638232,4,0.7777777777777778,59
1W-3M,252,-0.1,0.17430255226307162,-0.24539119037090507,4,0.7222222222222222,49
1W-3M,252,0.2,0.310117517165651,-0.10957622546832568,4,0.7777777777777778,62
1W-3M,252,-0.2,0.14247993011041052,-0.27721381252356614,5,0.6111111111111112,51
1W-3M,252,0.3,0.3570581516628307,-0.06263559097114596,5,0.7222222222222222,72
1W-3M,252,-0.3,0.0998956670392199,-0.3197980755947568,4,0.6111111111111112,50
1W-3M,252,0.5,0.17084036347230666,-0.24885337916167002,4,0.6111111111111112,88
1W-3M,252,-0.5,-0.02238406062733299,-0.4420778032613097,4,0.5,63
1W-3M,252,0.75,-0.028315278287443284,-0.44800902092142,1,0.5,125
1W-3M,252,-0.75,-0.04008144734363545,-0.45977518997761213,3,0.4444444444444444,74
1W-3M,252,1.0,-0.192105926098185,-0.6117996687321616,1,0.3888888888888889,172
1W-3M,252,-1.0,-0.08909241899800795,-0.5087861616319846,4,0.3888888888888889,105
1W-6M,42,0.1,0.30745131839116757,-0.11224242424280911,4,0.7777777777777778,58
1W-6M,42,-0.1,0.19392150993398496,-0.22577223269999172,4,0.7222222222222222,52
1W-6M,42,0.2,0.31040802694853775,-0.10928571568543893,4,0.7777777777777778,59
1W-6M,42,-0.2,0.2042513654682912,-0.21544237716568548,3,0.7222222222222222,57
1W-6M,42,0.3,0.2939238056616115,-0.12576993697236516,4,0.7777777777777778,59
1W-6M,42,-0.3,0.09138958438960451,-0.3283041582443722,3,0.6666666666666666,61
1W-6M,42,0.5,0.1182926986019657,-0.30140104403201096,2,0.5,92
1W-6M,42,-0.5,0.016006078242958032,-0.40368766439101866,3,0.5555555555555556,69
1W-6M,42,0.75,-0.0332926272558182,-0.4529863698897949,1,0.4444444444444444,125
1W-6M,42,-0.75,0.005766604420171114,-0.41392713821380556,3,0.5555555555555556,89
1W-6M,42,1.0,-0.1516831226135958,-0.5713768652475725,2,0.4444444444444444,165
1W-6M,42,-1.0,0.04402086557940632,-0.37567287705457036,2,0.5555555555555556,116
1W-6M,63,0.1,0.31069661125566955,-0.10899713137830713,4,0.7777777777777778,57
1W-6M,63,-0.1,0.204371961792716,-0.2153217808412607,4,0.7222222222222222,53
1W-6M,63,0.2,0.2939238056616115,-0.12576993697236516,4,0.7777777777777778,56
1W-6M,63,-0.2,0.21360019590808874,-0.20609354672588795,3,0.7222222222222222,58
1W-6M,63,0.3,0.39051947407146786,-0.02917426856250882,4,0.7777777777777778,63
1W-6M,63,-0.3,0.09891057886555898,-0.3207831637684177,3,0.6666666666666666,62
1W-6M,63,0.5,0.12035111646500127,-0.29934262616897545,2,0.5555555555555556,92
1W-6M,63,-0.5,0.029171658081051727,-0.390522084552925,5,0.5555555555555556,65
1W-6M,63,0.75,-0.03990115606366579,-0.4595948986976425,1,0.4444444444444444,126
1W-6M,63,-0.75,-0.06675821801585084,-0.48645196064982754,3,0.5,85
1W-6M,63,1.0,-0.21735653389523005,-0.6370502765292068,0,0.4444444444444444,161
1W-6M,63,-1.0,0.0060467575860788875,-0.4136469850478978,3,0.5555555555555556,111
1W-6M,126,0.1,0.30237920520102896,-0.11731453743294773,4,0.7777777777777778,58
1W-6M,126,-0.1,0.20274853771667992,-0.21694520491729677,4,0.7222222222222222,54
1W-6M,126,0.2,0.276966137518029,-0.14272760511594768,4,0.7777777777777778,60
1W-6M,126,-0.2,0.2652099489520756,-0.15448379368190107,3,0.7222222222222222,57
1W-6M,126,0.3,0.3181346308990305,-0.1015591117349462,4,0.7222222222222222,65
1W-6M,126,-0.3,0.10864136129338671,-0.31105238134059,3,0.6666666666666666,57
1W-6M,126,0.5,0.159287236336845,-0.2604065062971317,3,0.6111111111111112,93
1W-6M,126,-0.5,0.06272860044078514,-0.35696514219319153,3,0.5555555555555556,62
