pair,mom_window,k,sharpe,delta,n_dead,win_rate
1W-3M,63,0.5,0.32017514279077364,-0.09951859984320305,4,0.5555555555555556
1W-3M,63,-0.5,0.14675827689187,-0.2729354657421067,5,0.7222222222222222
1W-3M,63,1.0,-0.2682473281960086,-0.6879410708299853,2,0.3888888888888889
1W-3M,63,-1.0,0.05162915901296027,-0.3680645836210164,3,0.5555555555555556
1W-6M,21,0.2,0.29904122490262713,-0.12065251773134955,4,0.7777777777777778
1W-6M,21,-0.2,0.17042221312705738,-0.2492715295069193,3,0.6666666666666666
1W-6M,21,0.5,0.11143939440782834,-0.30825434822614833,5,0.6111111111111112
1W-6M,21,-0.5,0.019158364988377443,-0.40053537764559927,3,0.5555555555555556
1W-6M,21,1.0,-0.13426337691596466,-0.5539571195499413,4,0.4444444444444444
1W-6M,21,-1.0,-0.16037300649448286,-0.5800667491284596,4,0.3888888888888889
1W-6M,42,0.2,0.258694210109702,-0.16099953252427468,4,0.7777777777777778
1W-6M,42,-0.2,0.16422227919587015,-0.25547146343810656,3,0.6666666666666666
1W-6M,42,0.5,0.03213941493019708,-0.3875543277037796,4,0.6111111111111112
1W-6M,42,-0.5,0.0429130641003537,-0.37678067853362296,3,0.5555555555555556
1W-6M,42,1.0,-0.2008947235153628,-0.6205884661493395,1,0.3888888888888889
1W-6M,42,-1.0,0.0005697048694744351,-0.41912403776450224,5,0.4444444444444444
1W-6M,63,0.2,0.2994826513666445,-0.1202110912673322,4,0.7777777777777778
1W-6M,63,-0.2,0.19609977857419705,-0.22359396405977963,4,0.7222222222222222
1W-6M,63,0.5,0.23659531900451689,-0.1830984236294598,4,0.6111111111111112
1W-6M,63,-0.5,0.014183918719004826,-0.40550982391497187,3,0.6111111111111112
1W-6M,63,1.0,-0.17176134275703153,-0.5914550853910082,2,0.4444444444444444
1W-6M,63,-1.0,0.03676471112526814,-0.38292903150870855,4,0.5555555555555556
1M-3M,21,0.2,0.22988093082216404,-0.18981281181181264,4,0.6111111111111112
1M-3M,21,-0.2,0.18355275752708658,-0.2361409851068901,4,0.6666666666666666
1M-3M,21,0.5,0.172412354977814,-0.2472813876561627,2,0.7222222222222222
1M-3M,21,-0.5,0.0309871795768477,-0.388706563057129,5,0.5
1M-3M,21,1.0,-0.16201738913894317,-0.5817111317729199,2,0.4444444444444444
1M-3M,21,-1.0,0.06107153459628232,-0.35862220803769435,4,0.5
1M-3M,42,0.2,0.33261073803196844,-0.08708300460200824,4,0.7777777777777778
1M-3M,42,-0.2,0.19991790653741387,-0.21977583609656282,4,0.6666666666666666
1M-3M,42,0.5,0.2131573436972662,-0.2065363989367105,2,0.7222222222222222
1M-3M,42,-0.5,0.0224686952873682,-0.39722504734660846,4,0.5555555555555556
1M-3M,42,1.0,-0.045351462214229275,-0.46504520484820594,1,0.5
1M-3M,42,-1.0,-0.022308809738277605,-0.4420025523722543,2,0.5
1M-3M,63,0.2,0.36205988648574894,-0.05763385614822775,4,0.7777777777777778
1M-3M,63,-0.2,0.19529115669348876,-0.22440258594048793,4,0.6666666666666666
1M-3M,63,0.5,-0.027295467528343328,-0.44698921016232,6,0.6111111111111112
1M-3M,63,-0.5,0.05778193019088977,-0.3619118124430869,5,0.4444444444444444
1M-3M,63,1.0,-0.307515629039237,-0.7272093716732138,2,0.3888888888888889
1M-3M,63,-1.0,0.13476208074449805,-0.2849316618894786,2,0.5555555555555556
1M-6M,21,0.2,0.31370105969950757,-0.10599268293446912,3,0.7222222222222222
1M-6M,21,-0.2,0.17597702427491435,-0.24371671835906233,3,0.6666666666666666
1M-6M,21,0.5,0.19907644292531343,-0.22061729970866326,3,0.6666666666666666
1M-6M,21,-0.5,0.013612629561483569,-0.4060811130724931,3,0.6111111111111112
1M-6M,21,1.0,-0.09949571546636135,-0.519189458100338,2,0.5
1M-6M,21,-1.0,-0.09650913912123062,-0.5162028817552073,3,0.5555555555555556
1M-6M,42,0.2,0.3236873884025019,-0.0960063542314748,4,0.7777777777777778
