DATE,2s5s_spread,2s5s_z_level,2s5s_z_mom,2s10s_spread,2s10s_z_level,2s10s_z_mom,5s10s_spread,5s10s_z_level,5s10s_z_mom,10s30s_spread,10s30s_z_level,10s30s_z_mom,2s30s_spread,2s30s_z_level,2s30s_z_mom,5s30s_spread,5s30s_z_level,5s30s_z_mom
2011-10-18,0.7942770000000001,-1.295554229406615,-0.8631652008113537,1.9105170000000002,-1.579197748890791,-1.420141366400797,1.1162400000000001,-1.580793507802759,-1.8267610768207567,0.995504,-1.4661550753602484,-1.440945990293574,2.906021,-2.2251468496287314,-2.1065957456893467,2.111744,-1.8125185859204163,-1.8360323096261786
2011-10-19,0.7762074999999999,-1.3579219167210643,-0.8277051390156037,1.8943225000000001,-1.6130693735525345,-1.3597282292281767,1.1181150000000002,-1.5515148360185693,-1.7490440010935535,1.0152649999999999,-1.3114353350509906,-1.3241796117345321,2.9095875,-2.184839139016637,-1.9814651069366138,2.13338,-1.6984688048808803,-1.722674679150423
2011-10-20,0.7996137999999999,-1.2744042737929175,-0.7631491569605141,1.9266578,-1.5129513945406063,-1.3199021290152728,1.1270440000000002,-1.4658747891405086,-1.783829358744217,1.027187,-1.2144032892274885,-1.3654830021772026,2.9538448,-2.032522567094593,-1.951970485201956,2.1542310000000002,-1.5884611673900357,-1.7648418286910406
2011-10-21,0.7999687999999999,-1.2738855236202729,-0.6973075204958866,1.9524388,-1.4327990987826933,-1.1970547150667614,1.15247,-1.2503172066770958,-1.6097483667591694,1.044524,-1.0818030912711294,-1.3241791497405335,2.9969628,-1.8868965103599447,-1.8029262192624813,2.196994,-1.3851574188188516,-1.6488745081888765
2011-10-24,0.8121233,-1.23500638990754,-0.6305069155306432,1.9543953000000003,-1.4213367107252204,-1.12782714489105,1.1422720000000002,-1.32195420243742,-1.5748953066599365,1.0371389999999998,-1.1361053722497754,-1.2360966635201622,2.9915343,-1.8806535240701991,-1.6859124205887113,2.179411,-1.4620948697940002,-1.5769357455187853
2011-10-25,0.7425221,-1.4833208055681315,-0.881119953483871,1.8660997999999998,-1.6568720625133613,-1.283725543886201,1.1235776999999998,-1.460040506173342,-1.4558475037861451,1.0212090000000003,-1.2564926275897197,-1.3261535207359325,2.8873088,-2.1466464285713247,-1.8737457985280088,2.1447867,-1.6173324367519315,-1.5698199266201058
2011-10-26,0.7783323,-1.3586174171607543,-0.5082847894226977,1.9188253,-1.5036594026470471,-0.9801031813085278,1.140493,-1.3125753946167906,-1.457181936714326,1.016346,-1.294197166935812,-1.3952325329645658,2.9351713,-1.9877000795951558,-1.5993319207178571,2.1568389999999997,-1.55594303496061,-1.6126549773362084
2011-10-27,0.8930059000000001,-0.9526380227803454,-0.08736183817799387,2.0875928999999998,-1.0348125710610308,-0.4805772046902479,1.1945869999999998,-0.8699046886735368,-1.052001310167845,1.0596520000000003,-0.9631715606372833,-1.2481861441468705,3.1472449,-1.3845835024412914,-1.03685688379338,2.254239,-1.0953770206264013,-1.3114053336711784
2011-10-28,0.8413262,-1.13924264070448,-0.08757752193419588,2.0274661999999997,-1.1965050987420014,-0.432884480509775,1.1861399999999998,-0.9305004844394278,-0.9311542892395792,1.0587210000000002,-0.9728554420216142,-1.0666934253239964,3.0861872,-1.5394795053107833,-0.9063123764631908,2.244861,-1.1374166854579675,-1.138345849096576
2011-10-31,0.7216461000000001,-1.5636722357585333,-0.4642938643344673,1.875074,-1.6054284071889307,-0.7336233154487353,1.1534278999999998,-1.1845275868092824,-0.9232224308841642,1.0173580000000002,-1.3085584278174374,-1.183099375282495,2.892432,-2.0486459992142287,-1.2542087232753818,2.1707859000000003,-1.4899018500838823,-1.206513884782999
2011-11-01,0.6675487,-1.7471014312412898,-0.36154652647606733,1.7526924,-1.9217604110305646,-0.694356339464854,1.0851437,-1.7168908783839278,-1.0396870389597461,1.0108460000000001,-1.359043616504242,-1.1405448846611121,2.7635384000000003,-2.364966959662717,-1.1950554768480697,2.0959897,-1.839826519124429,-1.2427099253487575
2011-11-02,0.6533625999999999,-1.7826082051681662,-0.7316795951511724,1.7590015,-1.8839204820116058,-0.9345954879114753,1.1056389000000002,-1.538286249498699,-0.8878507074716286,1.027462,-1.2181937407364933,-1.1465100346777108,2.7864635,-2.2692763568231,-1.4357576717500937,2.1331009,-1.649854146281486,-1.1674977120469288
2011-11-03,0.6815272,-1.6711231499864325,-0.2899299281476099,1.8352381999999998,-1.6633820262624528,-0.3159763716251476,1.153711,-1.1444063845690071,-0.21055480892020714,1.048139,-1.041785219894475,-1.2679530839646833,2.8833772,-1.9841256244278542,-0.875094965137709,2.20185,-1.3065901396406987,-0.8858079448067653
2011-11-04,0.6563346,-1.7455964937208848,-0.3005634131055317,1.8143892,-1.7033376775902715,-0.3529569438449606,1.1580545999999998,-1.1008455758664015,-0.28508939825047513,1.0588250000000001,-0.9470232365919797,-1.3723877145355499,2.8732142,-1.986403510574196,-0.9588205492416513,2.2168796,-1.2252471738958968,-0.9916156081403467
2011-11-07,0.6629104,-1.708861125325824,-0.10855719282705245,1.8029819999999999,-1.7173587097430867,-0.09580929831139644,1.1400715999999997,-1.2340783806103517,-0.019875866421998126,1.0626010000000004,-0.9090580358862795,-1.5309791981598244,2.865583,-1.9819195350176426,-0.7741145614580253,2.2026726,-1.2851587870030179,-0.9520725736458238
2011-11-08,0.6862081999999999,-1.615620061642626,-0.2970079030448358,1.8387982,-1.6083728352675175,-0.5053308349245736,1.15259,-1.1255926048564897,-0.6933558821241094,1.060279,-0.9219069225200919,-1.628088934707784,2.8990772000000002,-1.8722721360337249,-1.2289357508730496,2.212869,-1.2257060495091756,-1.3696713321209963
