base,slope,mom_win,k,thresh,tl_c,ts_c,tl_s,cd,sharpe,ann_ret,vol,mdd,n_events,eq_final
ALL|std|w63,5Y-2Y,5,0.4,baseline,-3.5,3.0,-4.0,5,0.14160449924340354,0.03482401546291514,0.10468604841032757,-0.23502229616705395,40,1.793632155044836
ALL|std|w63,5Y-2Y,5,0.4,aggr,-3.0,2.5,-3.5,5,0.09131413095066938,0.02927371389648936,0.10155836561045845,-0.2350222961670556,71,1.6363278647357657
ALL|std|w63,5Y-2Y,5,0.5,opt_tight,-3.25,2.75,-4.0,5,0.11756105201681182,0.0328041800910952,0.1089151540534372,-0.2350222961670556,58,1.7348080818689968
ALL|std|w63,5Y-2Y,5,0.5,opt_loose,-3.5,2.75,-4.0,5,0.12345889526381847,0.033628024999990735,0.11038512025293197,-0.2350222961670556,55,1.7585782988187104
ALL|std|w63,5Y-2Y,5,0.5,baseline,-3.5,3.0,-4.0,5,0.11329384879207632,0.03227290599085797,0.10832808772682746,-0.2350222961670546,45,1.7196401216091244
ALL|std|w63,5Y-2Y,5,0.5,aggr,-3.0,2.5,-3.5,5,-0.026006286122532057,0.017450709582362833,0.09802593133159607,-0.23261788731501032,87,1.3434895662511575
ALL|std|w63,5Y-2Y,10,0.1,opt_tight,-3.25,2.75,-4.0,5,0.21870636972420426,0.04374013489639461,0.10854798114170923,-0.23607758712951288,31,2.076465744507335
ALL|std|w63,5Y-2Y,10,0.1,opt_loose,-3.5,2.75,-4.0,5,0.21870636972420426,0.04374013489639461,0.10854798114170923,-0.23607758712951288,31,2.076465744507335
ALL|std|w63,5Y-2Y,10,0.1,baseline,-3.5,3.0,-4.0,5,0.16766271895930202,0.03581527168837506,0.09432789702172262,-0.23607758712951243,21,1.8231828051313148
ALL|std|w63,5Y-2Y,10,0.1,aggr,-3.0,2.5,-3.5,5,0.038096439963970975,0.024146998266692643,0.1088552702198576,-0.2635287541728307,45,1.5026508565933903
ALL|std|w63,5Y-2Y,10,0.15,opt_tight,-3.25,2.75,-4.0,5,0.21870636972420426,0.04374013489639461,0.10854798114170923,-0.23607758712951288,33,2.076465744507335
ALL|std|w63,5Y-2Y,10,0.15,opt_loose,-3.5,2.75,-4.0,5,0.21870636972420426,0.04374013489639461,0.10854798114170923,-0.23607758712951288,33,2.076465744507335
ALL|std|w63,5Y-2Y,10,0.15,baseline,-3.5,3.0,-4.0,5,0.22313203771019777,0.04258588535060204,0.10122206377165979,-0.23607758712951243,23,2.0376196928555896
ALL|std|w63,5Y-2Y,10,0.15,aggr,-3.0,2.5,-3.5,5,0.04319988274260384,0.024704054354431015,0.10889044265372193,-0.2635287541728314,48,1.516661639283329
ALL|std|w63,5Y-2Y,10,0.2,opt_tight,-3.25,2.75,-4.0,5,0.22289855514168416,0.04408243967780057,0.1080421524603096,-0.236077587129511,36,2.0881193117102907
ALL|std|w63,5Y-2Y,10,0.2,opt_loose,-3.5,2.75,-4.0,5,0.22289855514168416,0.04408243967780057,0.1080421524603096,-0.236077587129511,36,2.0881193117102907
ALL|std|w63,5Y-2Y,10,0.2,baseline,-3.5,3.0,-4.0,5,0.22745925134945114,0.04336575859232905,0.10272503076356157,-0.23607758712951288,28,2.0637904332851247
ALL|std|w63,5Y-2Y,10,0.2,aggr,-3.0,2.5,-3.5,5,0.04319988274260384,0.024704054354431015,0.10889044265372193,-0.2635287541728314,50,1.516661639283329
ALL|std|w63,5Y-2Y,10,0.25,opt_tight,-3.25,2.75,-4.0,5,0.22644780913761867,0.044463326504907474,0.10803074932838244,-0.2360775871295121,38,2.1011587429144294
ALL|std|w63,5Y-2Y,10,0.25,opt_loose,-3.5,2.75,-4.0,5,0.22644780913761867,0.044463326504907474,0.10803074932838244,-0.2360775871295121,37,2.1011587429144294
ALL|std|w63,5Y-2Y,10,0.25,baseline,-3.5,3.0,-4.0,5,0.2243469055219312,0.043094059784337446,0.10293906096279927,-0.23607758712951266,29,2.0546371410156925
ALL|std|w63,5Y-2Y,10,0.25,aggr,-3.0,2.5,-3.5,5,-0.08191724115160443,0.011785354375849932,0.10027981299989344,-0.2635287541728306,56,1.2213661293814395
ALL|std|w63,5Y-2Y,10,0.3,opt_tight,-3.25,2.75,-4.0,5,0.12315794640026591,0.03334940594536584,0.10839256690737592,-0.2635287541728316,45,1.7505052620977024
ALL|std|w63,5Y-2Y,10,0.3,opt_loose,-3.5,2.75,-4.0,5,0.12315794640026591,0.03334940594536584,0.10839256690737592,-0.2635287541728316,43,1.7505052620977024
ALL|std|w63,5Y-2Y,10,0.3,baseline,-3.5,3.0,-4.0,5,0.1780534901979759,0.038113164425281676,0.10172878052062798,-0.23502229616705395,34,1.8934583022664928
ALL|std|w63,5Y-2Y,10,0.3,aggr,-3.0,2.5,-3.5,5,0.02888542993605609,0.02280412527972442,0.09707749844582314,-0.275390943029011,62,1.4693748772620834
ALL|std|w63,5Y-2Y,10,0.4,opt_tight,-3.25,2.75,-4.0,5,0.036656315476310486,0.023838158623003425,0.1047066125749565,-0.2635287541728313,51,1.4949356792470936
ALL|std|w63,5Y-2Y,10,0.4,opt_loose,-3.5,2.75,-4.0,5,0.12830177154180758,0.03391146742513018,0.10842771115281974,-0.26352875417283206,47,1.7668270501678998
ALL|std|w63,5Y-2Y,10,0.4,baseline,-3.5,3.0,-4.0,5,0.2119581701991187,0.041651411814034534,0.10214945615776296,-0.23502229616705395,39,2.006672389573651
