spread,window,mapping,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
3m2y,10,directional,-0.1617935656476007,-0.16795530854968924,-0.0040752753519298635,0.11088143249700173,-0.2972139960701468,-0.013711586284005413,-0.06744425754026173,445
3m2y,15,bull_bear,-0.2315543751932443,-0.24032269451893618,-0.010518802254898763,0.10722368667873813,-0.32875895247631415,-0.031995485372087636,-0.16541094861366912,288
3m2y,15,steep_flat,-0.22371473942120657,-0.22872469863831374,-0.00925359225134359,0.10588183071756248,-0.3074650792659038,-0.03009640077968283,-0.1469744040764258,301
3m2y,15,full_4,-0.23955589745688868,-0.24399291436665843,-0.007628568957792847,0.09615507825598643,-0.2767326079150701,-0.027566570543555435,-0.12273184063365994,431
3m2y,15,directional,-0.16785933378460402,-0.1727378099382806,-0.004388530208535468,0.1095926712304339,-0.3414123479889866,-0.012854046534594099,-0.07244716895840453,361
3m2y,21,bull_bear,-0.35638291164079294,-0.3682527900381396,-0.023170295547650932,0.10610444976013061,-0.3355642421410283,-0.06904876216791031,-0.33025335693565505,238
3m2y,21,steep_flat,-0.2898977586740865,-0.2981210868350612,-0.015381780341607088,0.10385216628047653,-0.31252987116936226,-0.04921699255195861,-0.2328401197322868,275
3m2y,21,full_4,-0.2651422967530824,-0.27371710780555125,-0.009290780169309065,0.09398209264708716,-0.27590151754607317,-0.03367426265699167,-0.1475217301777051,370
3m2y,21,directional,-0.3149830064984234,-0.3252220452493529,-0.019822459335473552,0.10840974924835668,-0.36095383037144496,-0.05491688317886793,-0.2899023492603858,317
3m2y,42,bull_bear,-0.26489953815677336,-0.27370668489403166,-0.014395640312236058,0.10816475902773565,-0.39493210984121163,-0.03645092397785544,-0.21959556418077852,167
3m2y,42,steep_flat,-0.3813767135326085,-0.3890804782711565,-0.02418163090196035,0.10277295838791844,-0.41039790727217706,-0.058922403047057995,-0.34201172974564176,205
3m2y,42,full_4,-0.2634732143288931,-0.27041831130298655,-0.010379247172100925,0.09748269653717584,-0.3334125460712019,-0.031130343757023424,-0.16339592622506638,285
3m2y,42,directional,-0.33947583653105656,-0.3477260536351013,-0.023602162330461418,0.11109763724546702,-0.44350474442329035,-0.05321738409169083,-0.3352984892221583,234
3m2y,63,bull_bear,-0.2823954918329238,-0.2913149719211848,-0.015520492439103806,0.10623986686561888,-0.403304885110967,-0.03848327409878368,-0.23468605249550512,144
3m2y,63,steep_flat,-0.2945367600289134,-0.3046134727971613,-0.01558155742986067,0.10315479187390036,-0.3737679304477505,-0.04168778581724479,-0.23549735789767445,182
3m2y,63,full_4,-0.272640504520162,-0.2815824705247554,-0.009590393703638789,0.09288479825253672,-0.3364554823788932,-0.028504198046738146,-0.15191934892280612,259
3m2y,63,directional,-0.28280701441199807,-0.2919807048354565,-0.016959992276769698,0.10987265077221067,-0.3669489145221529,-0.04621894657695142,-0.25359713500048,209
3m2y,126,bull_bear,-0.2425213293013562,-0.2525182983326931,-0.011025420115217899,0.10532660485863102,-0.2986667768730178,-0.03691545551417493,-0.17268761725765425,90
3m2y,126,steep_flat,-0.37918248652353453,-0.39544608613989785,-0.024478605396130226,0.10387763593400591,-0.4152619314260163,-0.058947386080082737,-0.3454274372489722,131
3m2y,126,full_4,-0.3302256537142401,-0.33920733940470393,-0.014850555269379284,0.0928261360977498,-0.3427909588160551,-0.04332248236846945,-0.225731919083351,179
3m2y,126,directional,-0.19770556234054518,-0.20617976529956483,-0.007797283404291977,0.11011336840204446,-0.35023557264311095,-0.022262968165821885,-0.12527862454668415,138
2s5s,10,bull_bear,-0.33700181982170363,-0.3496681822706727,-0.02405269673099708,0.11273320586943279,-0.4382857091125517,-0.05487903491012606,-0.3405235509233653,365
2s5s,10,steep_flat,-0.31415283591734156,-0.3199643401684806,-0.01968621626713285,0.10828088380977186,-0.3487186479065328,-0.056453006988055755,-0.28821272673733933,383
2s5s,10,full_4,-0.28184497454265806,-0.28823628025122455,-0.012470023618236459,0.09832557762624697,-0.25792569289936357,-0.04834734949457697,-0.1931101715013922,516
2s5s,10,directional,-0.2964794098062902,-0.3058100482739113,-0.019897598014979034,0.11351800683909224,-0.362661988282656,-0.05486540817029602,-0.29083256754502484,451
2s5s,15,bull_bear,-0.09660954677966319,-0.1016123962927967,0.0036276650963917856,0.1085685986543785,-0.2562426032147261,0.014157150492854913,0.06387505342327238,294
2s5s,15,steep_flat,-0.45175021948607813,-0.4576308982935256,-0.034056608049766623,0.10804300250005212,-0.5087557596805318,-0.06694097786952258,-0.447050334748161,307
2s5s,15,full_4,-0.3251043307922656,-0.33305042451556016,-0.016591960094025193,0.09816022760516392,-0.4002726899937725,-0.04145164161532812,-0.24880451330395215,442
2s5s,15,directional,-0.14644767056152577,-0.1523110733509177,-0.0024995608725549845,0.11134667294007942,-0.32339782413685675,-0.007729059028848662,-0.04189127190419062,387
2s5s,21,bull_bear,-0.43399397085457153,-0.44986260466981776,-0.0324093259396907,0.10844616096230647,-0.4465788131672812,-0.07257246645857042,-0.4307028907718442,276
2s5s,21,steep_flat,-0.3583913764122884,-0.3658320839148272,-0.02446159681914284,0.10848295075952222,-0.42156171248512825,-0.05802613495172617,-0.3452322614860758,285
2s5s,21,full_4,-0.44003360163588895,-0.4481042129436975,-0.02758016099802041,0.09807604359266818,-0.39051830701683127,-0.07062450211029853,-0.38011689308445173,403
2s5s,21,directional,-0.42214913383174807,-0.43191070170788737,-0.03272085051707485,0.11146457539040797,-0.4500403070589924,-0.07270648873854253,-0.4338289010596966,351
2s5s,42,bull_bear,-0.18957450287012229,-0.196532252139301,-0.006329200780522459,0.10815663713431015,-0.36028951775158324,-0.017566985628725378,-0.10288233454114393,186
2s5s,42,steep_flat,-0.2829153653972919,-0.2877947208262491,-0.016738815516316174,0.10926106763273029,-0.4071115470619394,-0.04111604211945742,-0.2507203707016519,200
2s5s,42,full_4,-0.18551041122417825,-0.19059085837966627,-0.003087261827773524,0.09839377857641084,-0.2721876400341999,-0.011342402716690646,-0.05149800188797804,307
2s5s,42,directional,-0.20796884566217402,-0.21288389777226333,-0.009874030653896582,0.113128081084496,-0.31111131804335845,-0.03173793456308933,-0.15606278070441315,255
2s5s,63,bull_bear,-0.16481856307373804,-0.1732409413561147,-0.00338421144540757,0.10712819781997181,-0.2904008091553948,-0.01165358820882852,-0.05631746677951277,168
2s5s,63,steep_flat,-0.29750897509520263,-0.2984489615039891,-0.019302771240865768,0.11174866682472741,-0.49963602657420797,-0.038633665737069986,-0.28343708087281894,167
2s5s,63,full_4,-0.27206846571270105,-0.27843440548650017,-0.01146324345816141,0.09817967387502068,-0.3843479512554249,-0.029825171230178662,-0.17892801546739023,267
2s5s,63,directional,-0.25976220315223275,-0.26760424671458766,-0.01507350276105035,0.11153537871235861,-0.42457287652785025,-0.035502745451667095,-0.22872264636698636,220
2s5s,126,bull_bear,-0.25137009977112984,-0.26267116140249924,-0.01254547829816166,0.10702181176015306,-0.30716803371132706,-0.04084239543608159,-0.19416373082716332,114
2s5s,126,steep_flat,-0.4498932875710715,-0.4471848629753495,-0.03605774459691291,0.11210301261998452,-0.5745745909152797,-0.0627555502227727,-0.4663149057837932,95
2s5s,126,full_4,-0.3813239022191336,-0.3886343980754412,-0.02161293314209556,0.09732710851226371,-0.3899227304415363,-0.05542875922524893,-0.3117589763226086,191
2s5s,126,directional,-0.31014682640161945,-0.31944137405983025,-0.02125357892024482,0.11313017026597985,-0.45024140244942334,-0.04720485234058919,-0.30742373727280314,148
5s10s,10,bull_bear,-0.4739911756738966,-0.48351745148908537,-0.037117962625988876,0.10936107678570292,-0.5038305231877019,-0.07367152428786175,-0.4762635615530523,377
5s10s,10,steep_flat,-0.48183685624036293,-0.4829813458986889,-0.03789956642400938,0.10927970437540156,-0.5375094968357456,-0.07050957545330755,-0.48348571823858355,392
5s10s,10,full_4,-0.3797216918023212,-0.38240981861531853,-0.021096641188728893,0.09653598837265778,-0.45071478158803696,-0.046807076338604925,-0.3055223902796692,532
5s10s,10,directional,-0.5188606223805653,-0.5200096587649822,-0.043670207536085415,0.11241007807509584,-0.5510009951345416,-0.07925613187943911,-0.5339775773588966,471
5s10s,15,bull_bear,-0.20400610942252537,-0.21393095060277892,-0.008715282476580377,0.11084729761856729,-0.3118674070352565,-0.027945473877605674,-0.13901449203775695,294
5s10s,15,steep_flat,-0.4808486646363627,-0.48221052834968314,-0.034776604457916416,0.10395360869438798,-0.458547184539062,-0.07584084175083168,-0.45405579041052435,309
5s10s,15,full_4,-0.34902631135201495,-0.35259725606592107,-0.01772538854348571,0.09548035910767545,-0.3145722525749209,-0.056347590731207604,-0.2634723060131181,459
5s10s,15,directional,-0.2818590288679301,-0.2894864124781153,-0.01877160853558124,0.1148133474384818,-0.3611774918612645,-0.051973362013355444,-0.27677181646168647,386
5s10s,21,bull_bear,-0.45683771433297016,-0.4728094110036878,-0.03605627509410858,0.11073883848632912,-0.504055800095099,-0.07153230869936608,-0.4663009939059163,296
