group,n_spreads,window,long_th,short_th,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
all_6,6,10,9,-11,-0.35720770274737235,-0.3587576447883145,-0.01931499987042673,0.09732927037807566,-0.446217093633347,-0.04328610478176282,-0.28358984786712116,517
all_6,6,10,9,-12,-0.3420402022294632,-0.3351805886647087,-0.019728417614630733,0.10162525339377713,-0.4089500110237215,-0.04824163609934801,-0.2887364922432668,449
all_6,6,10,10,-1,-0.2701557704507524,-0.2814713421781808,-0.004865373371105819,0.08018682018929317,-0.31574348352653037,-0.015409259810415075,-0.08001422138736003,488
all_6,6,10,10,-2,-0.336627464203788,-0.34669221425055474,-0.010172932566764215,0.08022730108961969,-0.36497808890866734,-0.02787272133837575,-0.16040857641432604,496
all_6,6,10,10,-3,-0.2497512786895538,-0.25868588251443786,-0.0034700047072446782,0.08089770537368575,-0.35288278368441395,-0.009833306887388229,-0.05770558472889287,503
all_6,6,10,10,-4,-0.30868111991454683,-0.319128488948987,-0.00833370886607121,0.08121834876775005,-0.35581178921645956,-0.023421677186197348,-0.13332991825327434,503
all_6,6,10,10,-5,-0.32565513725797973,-0.33627710375874165,-0.01020820646947529,0.08247852547957385,-0.31043946158074676,-0.03288308263870664,-0.160920038631708,512
all_6,6,10,10,-6,-0.3438830911955584,-0.3551939281063802,-0.011987588961160589,0.083170986876299,-0.3363210470273371,-0.03564329103728737,-0.1863433131479506,525
all_6,6,10,10,-7,-0.3043431858201489,-0.3147615329520974,-0.009418669960645887,0.08495468633540663,-0.2774037250744882,-0.0339529325286342,-0.14940146990917702,522
all_6,6,10,10,-8,-0.46138696319383893,-0.4750176717320624,-0.023104096060623136,0.08599581468080965,-0.38028863502828614,-0.0607541060460685,-0.3294768252210273,544
all_6,6,10,10,-9,-0.3337459032547381,-0.34080414672359605,-0.014032677132134852,0.09010642074896641,-0.3628070981306363,-0.03867806667630878,-0.21466673767407873,526
all_6,6,10,10,-10,-0.39716121011743577,-0.40318057872224294,-0.02070399682123103,0.09230691804056947,-0.4020635173702962,-0.051494343373022,-0.3007438357218558,517
all_6,6,10,10,-11,-0.3408496629857488,-0.34354501092585205,-0.015990148344645738,0.09322086135993796,-0.42764727432644456,-0.03739097453580321,-0.24090506940499756,494
all_6,6,10,10,-12,-0.3790408910399445,-0.3717712353559979,-0.021366180871306817,0.09726178978819368,-0.44926379889563933,-0.047558207280061805,-0.30878492222105547,418
all_6,6,10,11,-1,-0.374570407447656,-0.3831141739608117,-0.01080860900299041,0.0749120531231553,-0.28282093724994095,-0.03821714583117437,-0.1695808518898495,466
all_6,6,10,11,-2,-0.4591141812226655,-0.46568673503119945,-0.01707768033390311,0.07495582109295733,-0.341171022539881,-0.05005606926041564,-0.2551236180219675,474
all_6,6,10,11,-3,-0.3588755721917727,-0.3668781925453325,-0.010026780726075657,0.07579996576501083,-0.32862226251478766,-0.03051156866046001,-0.15828628425050106,478
all_6,6,10,11,-4,-0.3912821869276456,-0.39883322239899394,-0.012622371362670748,0.07616073425069694,-0.3327591482331496,-0.03793245483915835,-0.195236041494248,479
all_6,6,10,11,-5,-0.3905376137855139,-0.3992444949027311,-0.013331873799971583,0.07782040223107167,-0.28963638169262756,-0.04602969323833027,-0.2050672033292933,485
all_6,6,10,11,-6,-0.3468549386829145,-0.3552401575375917,-0.010427655016374326,0.07890293280231861,-0.3120808693989982,-0.033413310583425976,-0.1640954007173232,491
