method,base_signal,yc_component,param,thresholds,sharpe,sortino,ann_ret,vol,mdd,calmar,excess,n_events,eq_final
C_momentum,z_move,10Y2Y+30Y10Y,"win=126,k=0.2",baseline,0.20548792403139599,0.23679537428746367,0.03943698834992038,0.09458944335313177,-0.23607758712951155,0.1670509633270919,0.05555813199808168,20,1.9350939307237702
C_momentum,z_move,full_3seg,"win=126,k=0.2",baseline,0.20548792403139599,0.23679537428746367,0.03943698834992038,0.09458944335313177,-0.23607758712951155,0.1670509633270919,0.05555813199808168,20,1.9350939307237702
C_momentum,z_move,full_3seg,"win=21,k=0.2",baseline,0.20548792403139599,0.23679537428746367,0.03943698834992038,0.09458944335313177,-0.23607758712951155,0.1670509633270919,0.05555813199808168,19,1.9350939307237702
C_momentum,z_move,5Y2Y+30Y10Y,"win=21,k=0.2",baseline,0.20548792403139599,0.23679537428746367,0.03943698834992038,0.09458944335313177,-0.23607758712951155,0.1670509633270919,0.05555813199808168,19,1.9350939307237702
C_momentum,z_move,30Y-10Y,"win=63,k=0.3",baseline,0.20543475506487885,0.23676502955884898,0.039432192194130744,0.09459057786007931,-0.23607758712951155,0.16703064731214126,0.05555333584229205,15,1.9349415430048806
C_momentum,z_move,10Y-2Y,"win=21,k=0.2",optimized,0.20497378341119282,0.24559648979915805,0.04055046285645214,0.1002589819753991,-0.23607758712951132,0.17176752503068538,0.05667160650461345,30,1.9707796624250062
C_momentum,z_move,10Y-2Y,"win=126,k=0.5",baseline,0.20135954562781067,0.23640598334629417,0.039844535561231575,0.09855274305153557,-0.23607758712951155,0.1687772907445592,0.05596567920939288,35,1.9480842323517982
C_momentum,z_move,5Y2Y+30Y10Y,"win=21,k=0.2",optimized,0.20061196885660537,0.24112776511835296,0.04017067301862731,0.10054571087453425,-0.23607758712951155,0.1701587749479572,0.05629181666678862,25,1.9585387388922637
C_momentum,z_move,5Y-2Y,"win=21,k=0.7",baseline,0.20061120205393335,0.23333003571226874,0.03962622358039014,0.09783214187168733,-0.23607758712951277,0.1678525439971186,0.05574736722855145,45,1.941115505553798
A_blend,z_std,30Y-10Y,w_rr=0.8,optimized,0.19980580431489117,0.24045014940620962,0.039316566272445286,0.09667670235446536,-0.236077587129513,0.16654086798538856,0.05543770992060659,13,1.9312711909474332
A_blend,z_move,10Y2Y+30Y10Y,w_rr=0.8,optimized,0.199105844899246,0.23948438542890868,0.03924413225726098,0.09665277414130727,-0.236077587129513,0.166234045063039,0.055365275905422284,11,1.9289752340609618
A_blend,z_move,full_3seg,w_rr=0.8,optimized,0.19838268357757602,0.2387396103372963,0.039178782128737044,0.09667568652098271,-0.236077587129513,0.16595722874464752,0.05529992577689835,12,1.9269060218360814
A_blend,z_std,10Y-5Y,w_rr=0.8,optimized,0.19838268357757602,0.2387396103372963,0.039178782128737044,0.09667568652098271,-0.236077587129513,0.16595722874464752,0.05529992577689835,14,1.9269060218360814
C_momentum,z_move,10Y-3M,"win=21,k=0.3",optimized,0.19781618648558635,0.23316783979210454,0.040230845608224985,0.10227093125010314,-0.23607758712951132,0.17041365975226816,0.05635198925638629,36,1.960473364854199
