signal,change_win,z_win,group,tl,ts,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
k0.00,10,252,all_6,-2.0,3.0,-0.4450360968223138,-0.46253160102046204,-0.023373381114197178,0.08915627090257251,-0.39509448471619407,-0.05915896581291648,-0.3326303069320209,17
k0.00,10,252,all_6,-1.5,0.5,-0.20064587285669763,-0.20220153298584928,-0.015365028317426255,0.13286823655668004,-0.4640609055356448,-0.03310993909235058,-0.23261690608765706,111
k0.00,10,252,all_6,-1.5,1.0,-0.1659845823535413,-0.16696288206061352,-0.008110317168826486,0.1235720146182632,-0.3581054054285647,-0.02264784905751539,-0.12998551273654257,101
k0.00,10,252,all_6,-1.5,1.5,-0.23531632201832728,-0.23733026899597115,-0.01291112693721197,0.11306172882119897,-0.3603328011144647,-0.03583111750381718,-0.19925089314303956,78
k0.00,10,252,all_6,-1.5,2.0,-0.4002792548152875,-0.40265206454411545,-0.02324858890664372,0.09698423870118272,-0.43080721161252455,-0.0539651804333162,-0.3311706590442076,53
k0.00,10,252,all_6,-1.5,2.5,-0.40993447297313246,-0.41484767484272156,-0.01625498469441944,0.08080476385591893,-0.3938995561705357,-0.04126682663075145,-0.24439092635502557,31
k0.00,10,252,all_6,-1.5,3.0,-0.47729371790500963,-0.4984612851372485,-0.0157565525917317,0.07004331487370832,-0.2942411701422917,-0.05354978905267407,-0.23781784899942082,17
k0.00,10,252,all_6,-1.0,0.5,-0.19121770012830056,-0.19786130149516556,-0.010648072455871405,0.12180397908872313,-0.4015988959840763,-0.026514197529800006,-0.1672733910338523,169
k0.00,10,252,all_6,-1.0,1.0,-0.1353762614693182,-0.14193308697342638,-0.001317608792598235,0.1115551546927493,-0.2779146210143488,-0.004741056040121785,-0.022292682981458034,141
k0.00,10,252,all_6,-1.0,1.5,-0.27107840715002585,-0.2809812241116032,-0.011852133174695023,0.09950694005859123,-0.30782729289549504,-0.0385025416791705,-0.18443376037699488,102
k0.00,10,252,all_6,-1.0,2.0,-0.32496405873529816,-0.3404117817778833,-0.010588505593200237,0.08356770334852837,-0.3107706595288324,-0.034071767293777824,-0.1664156764156296,59
k0.00,10,252,all_6,-1.0,2.5,-0.36093625764050885,-0.3819091092928176,-0.007128338525401401,0.06870089603661338,-0.2397212057431913,-0.029735953076415994,-0.1151396471183066,33
k0.00,10,252,all_6,-1.0,3.0,-0.39821086167065306,-0.4256535168822477,-0.006640725459067909,0.06211964093569695,-0.17413592733222566,-0.03813529787220982,-0.10767944415494024,19
k0.00,10,252,all_6,-0.5,0.5,-0.31490998676781706,-0.3298258973212603,-0.020990982046309226,0.11124069097706914,-0.3924798530664729,-0.0534829543027628,-0.3042395315328156,235
k0.00,10,252,all_6,-0.5,1.0,-0.25927441785804733,-0.27568909683583814,-0.010851614372742957,0.09996902239989151,-0.29253652230333765,-0.037094904551749186,-0.17019796345791882,181
k0.00,10,252,all_6,-0.5,1.5,-0.4375848588660941,-0.4559302476696678,-0.020689890333130512,0.08519144813768384,-0.33091601936494275,-0.06252308477793324,-0.3005715824261802,118
k0.00,10,252,all_6,-0.5,2.0,-0.5121391645530504,-0.5291969013421142,-0.01892456614081428,0.07138311432943222,-0.28404002330284756,-0.0666264068026661,-0.2786971562974293,63
k0.00,10,252,all_6,-0.5,2.5,-0.41721488330246187,-0.4355555224311542,-0.007071224274657784,0.060552954522128326,-0.17568187401357924,-0.040250164192301464,-0.11426887769776517,33
k0.00,10,252,all_6,-0.5,3.0,-0.5007275543277615,-0.5249851551608258,-0.00854995586556484,0.05416266682919445,-0.17885990829598067,-0.04780252850972178,-0.13655582741760475,19
k0.25,10,63,all_6,-3.0,0.5,-0.17321172336663296,-0.1694766042445237,-0.017126721427233815,0.15013039882015278,-0.531952960747285,-0.032195932142523045,-0.25575884172009633,13
k0.25,10,63,all_6,-3.0,1.0,-0.16530224900126828,-0.16204745547991137,-0.015742926966191173,0.1494333800948343,-0.524870634751353,-0.029993918355994655,-0.23763740724469462,13
k0.25,10,63,all_6,-3.0,1.5,-0.16806762923413557,-0.16456383743512096,-0.015918470417856656,0.1486895382060698,-0.524870634751354,-0.030328369247400712,-0.23995902242740008,13
k0.25,10,63,all_6,-3.0,2.0,-0.14572072403600414,-0.14455281441519874,-0.011698733626587687,0.14542910864695602,-0.5344693783778697,-0.02188850119363936,-0.18226615548607428,13
k0.25,10,63,all_6,-3.0,2.5,-0.26928193169677034,-0.2738368914977533,-0.02526515506478355,0.13530392819855164,-0.5604549337687281,-0.04507972638386876,-0.35439360175577483,11
k0.25,10,63,all_6,-3.0,3.0,-0.10408719193295919,-0.11259033068692356,0.0019288783941022736,0.11267955212099091,-0.3448725654891701,0.0055930177901113605,0.033499401578721555,5
k0.25,10,63,all_6,-2.5,0.5,-0.20701224757752415,-0.2044162056439818,-0.02057422069359749,0.1457366879405806,-0.5102060090196905,-0.0403253202233521,-0.2991576412800284,41
k0.25,10,63,all_6,-2.5,1.0,-0.21046331065636778,-0.20889974285140459,-0.020341746289815665,0.14365292395328502,-0.4993525501297944,-0.04073624192873017,-0.29630773954931244,39
k0.25,10,63,all_6,-2.5,1.5,-0.16814012566234793,-0.1665263761236468,-0.01311569058971307,0.13955658040983993,-0.4768588326862477,-0.027504346550172056,-0.20208372170853928,37
k0.25,10,63,all_6,-2.5,2.0,-0.09798501515448023,-0.09807943745394383,-0.0014376945563628896,0.1311072757481493,-0.5008416487028585,-0.0028705571113872186,-0.024300983222260486,33
k0.25,10,63,all_6,-2.5,2.5,-0.3247956352950088,-0.3377603400697209,-0.022038357645385864,0.1111718586778631,-0.4936656451659089,-0.044642275315673045,-0.3168582565471242,21
k0.25,10,63,all_6,-2.5,3.0,-0.27481598041351035,-0.2939627626436272,-0.011088663663249232,0.0964428561338154,-0.3606316429096599,-0.030747894371617856,-0.17359179337606434,10
k0.25,10,63,all_6,-2.0,0.5,-0.24598377354904657,-0.2454465924861967,-0.02351289487809194,0.13884441317350063,-0.5480422405872138,-0.042903435422967484,-0.3342585963684884,93
k0.25,10,63,all_6,-2.0,1.0,-0.16636211577332458,-0.1680700369758925,-0.011121258354833796,0.13371599986842392,-0.4686195750918759,-0.023731954331300396,-0.17405742757889242,85
k0.25,10,63,all_6,-2.0,1.5,-0.14241589456199408,-0.1441570179620423,-0.005442586318126663,0.12441888988945465,-0.4587084852134703,-0.011865022107872788,-0.08909628911362277,73
k0.25,10,63,all_6,-2.0,2.0,-0.16437466260534922,-0.1673214643405761,-0.004414450259926261,0.11106466242814253,-0.4297649772640652,-0.01027177758417909,-0.07285999735689241,58
