date,strategy,benchmark_tlt,weight_tlt,net_return,z_composite,regime
2009-03-06,0.9350953940624317,0.8735651445328865,0.5,-0.00333460365853655,0.5125506676446243,STRESS
2009-03-09,0.9323598857640522,0.8684541265186426,0.5,-0.0029253788605409503,0.03359697878775231,STRESS
2009-03-10,0.9234941891549946,0.8517804775869291,0.5,-0.009508878217977301,-0.2868449325741781,STRESS
2009-03-11,0.9284904689507377,0.8609970674486803,0.5,0.005410190832185746,-1.0910223862447368,STRESS
2009-03-12,0.9307884044876651,0.8651026392961876,0.5,0.0024749155901667708,-1.7678837303156445,STRESS
2009-03-13,0.928528955791426,0.8607457059069962,0.5,-0.002427456858449639,-2.17758471731635,STRESS
2009-03-16,0.9210393303525919,0.8471721826560535,0.5,-0.008066119416222595,-1.9728600753147378,STRESS
2009-03-17,0.9185760563421751,0.842563887725178,0.5,-0.002674450405363016,-2.528696889795045,STRESS
2009-03-18,0.9361441324584474,0.8744868035190615,0.5,0.019125336432379347,-3.124328746488362,STRESS
2009-03-19,0.936642260416416,0.8755760368663594,0.5,0.0005321060515119935,-1.6460434428460433,STRESS
2009-03-20,0.9340004918507042,0.8707163803937997,0.5,-0.0028204669780084735,-1.1497152263815147,STRESS
2009-03-23,0.9300407490439391,0.8631755341432761,0.5,-0.004239551093724703,-1.157176946853462,STRESS
2009-03-24,0.9344221847218109,0.8713866778382908,0.5,0.004711014740349795,-1.3484421597918506,STRESS
2009-03-25,0.9281751782122719,0.8596564725596983,0.5,-0.006685421869985719,-1.708260811904161,STRESS
2009-03-26,0.9335999570002228,0.869627147046502,0.5,0.005844563521294921,-1.7973644205719415,STRESS
2009-03-27,0.9369784078077403,0.8760787599497278,0.5,0.0036187349647839318,-1.832588690961407,STRESS
