z_windows,k_slope,yc_cw,k_yc,term_z_w,k_term,tl_c,ts_c,tl_s,adapt_days,adapt_raise,max_hold_days,sharpe,sortino,calmar,ann_ret,mdd,excess,n_events,n_dead,win_rate,consistency,min_excess,composite_score
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.125,42,1.0,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,69,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.125,42,0.75,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,70,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.125,42,0.5,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,71,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.125,63,0.5,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,71,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.0,63,0.75,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,74,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.0,63,0.5,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,75,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.0,42,1.0,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,73,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.0,126,1.0,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,76,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.125,126,1.0,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,72,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.0,126,0.5,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,76,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.0,63,1.0,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,73,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.125,126,0.75,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,72,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.125,126,0.5,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,72,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.125,63,1.0,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,69,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.125,63,0.75,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,70,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.0,0,0.0,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,76,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.0,126,0.75,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,76,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
"[63, 252]",1.0,84,0.2,252,0.4,-3.75,3.75,-3.0,42,0.5,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,0.062027378276850786,-0.19663852284384076,0.0781485219250121,75,2,0.7222222222222222,8.499197677508835,-0.18667545268935104,0.28896857211292415
